titulo,empresa,ubicacion,salario,tipo_contrato,modalidad,descripcion,Area
Analista de Business Intelligence - job post,Veolia,"Guayaquil, Provincia del Guayas",,Contrato,,"Descripción de la empresa La ambición de Veolia es convertirse en la empresa de referencia para la transformación ecológica. Con casi 218,000 empleados en cinco continentes, y más de 23.000 en Latam, el Grupo diseña y despliega soluciones útiles y prácticas para la gestión del agua, residuos y energía que ayudan a cambiar radicalmente el panorama mundial. En Veolia América Latina nos enfocamos en acompañar a nuestros clientes en el cumplimiento de sus objetivos de descarbonización, mediante soluciones ambientales innovadoras que optimizan sus procesos y reducen el impacto ambiental; trabajamos de la mano con ciudades e industrias para impulsar la descontaminación y crear entornos más limpios y saludables, mientras contribuimos al cuidado del planeta a través de la regeneración de recursos naturales con un modelo de economía circular que construye un futuro sostenible para todos. Descripción del empleo Posición clave para la ejecución del roadmap estratégico para la evolución de Salesforce en LATAM, impulsando la integración de funcionalidades avanzadas y optimización de procesos basados en IA para alcanzar el nivel 5 de madurez en nuestro CRM. La posición tiene como objetivo apoyar a la Dirección de Desarrollo de la región LATAM en la transformación de datos en insights valiosos que agreguen valor al equipo. Este puesto requiere colaborar estrechamente con los diversos miembros del equipo de desarrollo regional, así como con los equipos locales de los 9 países que conforman Veolia LATAM. Responsabilidades principales: Análisis de datos (50%) Definir, monitorear y optimizar KPIs comerciales críticos, utilizando los datos de Salesforce para identificar patrones de compra, analizar tendencias y formular estrategias que impulsen el crecimiento del negocio y la estabilidad en la región LATAM. Soporte en el reporte de clientes potenciales: análisis de mercado y colección de la información pública sobre los objetivos ambientales del cliente, elaboración de plantillas para presentaciones a clientes y ofertas comerciales Analizar grandes volúmenes de datos para obtener insights accionables que impulsen el desarrollo del negocio. Extracción, Transformación y Carga (ETL): Extraer datos de diversas fuentes (bases de datos SQL, archivos CSV, APIs, etc.), transformarlos para que sean consistentes y útiles, y cargarlos en un sistema de almacenamiento de datos (data warehouse, data lake, etc.) Colaborar con equipos multifuncionales para integrar datos analíticos en el proceso de toma de decisiones. Construir y mantener modelos de datos para pronósticos y proyecciones estadísticas. Desarrollar y ejecutar estrategias de analítica de mercados para identificar oportunidades comerciales. Análisis de información de las oportunidades en Salesforce como por ejemplo su desempeño, las tendencias y su alineación a Green Up. Modelado de Datos: Construir modelos estadísticos y de machine learning para predecir resultados, clasificar datos o segmentar clientes. Automatización de Procesos: Desarrollar scripts y flujos de trabajo automatizados para realizar tareas repetitivas de análisis de datos y generación de informes. Gestión de CRM Salesforce (25%) Seguimiento de la actividad comercial de los países a través del CRM Salesforce. Incluido el seguimiento específico a los proyectos presentados en el presupuesto de cada país. Seguimiento a las necesidades de licencias y gestión de las mismas Ejecución del roadmap de maduración e integraciones con otras herramientas Gestión de permisos y licencias para el acceso al programa de Sales Academy Requisitos Formación profesional Ingeniería en sistemas / Administración de negocios / Estadística Conocimiento de data analytics / científico de datos. Deseable: Conocimiento en temas comerciales Experiencia 3-4 años de experiencia en puestos similares, comprobada en análisis de datos, modelado de datos y desarrollo de proyecciones estadísticas Experiencia en analítica de mercados es una ventaja. Idiomas Español (fluido), Ingles (fluido). Es un plus saber de Francés, Portugués Manejo de CRM Salesforce Manejo de herramienta como usuario intermedio - avanzado Conocimiento de la industria en Latam & de la actividad de Veolia Entendimiento básico de las funciones comerciales de un negocio de servicios. Modelos predictivos e IA Experiencia comprobada en la implementación y gestión de soluciones de inteligencia artificial y aprendizaje automático (ej. Einstein Analytics, modelos predictivos) para la optimización de ventas y segmentación de clientes.optimización de ventas y segmentación de clientes. Información adicional Trabajará para la zona Latam, pero puede estar basado en Colombia/Chile/Argentina/Ecuador/Brazil As an inclusive company, Veolia is committed to diversity and gives equal consideration to all applications, without discrimination.",Analista de Datos
ANALISTA PROGRAMACION DE LA PRODUCCION - job post,Sigma Alimentos,Provincia de Pichincha,,,,"SIGMA está comprometida a promover el desarrollo del talento. Objetivo del Puesto Apoyar en la coordinación y ejecución del programa de producción, asegurando trazabilidad en sistemas, control de inventarios, generación de reportes, cumplimiento de estándares de calidad, seguridad e inocuidad, y liderando acciones de mejora continua que garanticen la disponibilidad del producto terminado conforme a lo planificado. Responsabilidades del Puesto Apoyar en la aplicación de la metodología 5'S en la planta, participando activamente en mantener los estándares del sistema. Revisar los registros de entrega/recepción de todos los documentos que se generan en el proceso productivo. Revisar las existencias de la bodega para realizar el pedido que garantice el stock necesario. Informar al supervisor de area sobre desviaciones encontradas al momento de ingresar ordenes de producción, monitero de ordenes y costos, a fin de que el supervisor tome las acciones necesarias para erradicar dicha desviación. Contribuir a la calidad e inocuidad de los productos y procesos, cumpliendo las buenas practicas de manufactura, para evitar desviaciones microbiológicas, químicas y físicas, que pudieran atentar contra la salud de los consumidores. Controlar y verificar inventarios de piso de acuerdo a stock que permitan organizar la producción. Apoyar al Supervisor en la revisión de la información ingresada en SAP, que permita una trazabilidad en tiempo y forma correcta. Liderar y hacer seguimiento del cumplimiento del programa de 5'S en el área de Operaciones. Asegurar y reportar el cumplimiento del programa de producción acorde a lo planificado. Entre otros. Requisitos Educación: Título de Tercer Nivel en Ing. Industrial / Alimentaria o afines. Conocimientos Normas de inocuidad alimentaria HACCP / BPM. Gestión de procesos productivos Sistemas ERP - SAP Análisis de Datos. Competencias Gestión del tiempo y prioridades Resolución de Problemas Pensamiento Crítico Comunicación Efectiva Trabajo en Equipo Orientación a Resultados Adaptabilidad y aprendizaje continuo Condiciones de Trabajo Disponibilidad Inmediata. Disponibilidad de trabajar en Sangolquí - Valle de los Chillos Contar con Movilización Propia (Auto) / Papeles al día En el caso de candidatos internos considerar lo siguiente: Estabilidad: Tener máximo 1 año de estabilidad en la compañía de preferencia en áreas de producción. En Sigma promovemos la originalidad. Reconocemos y celebramos el valor único de las personas, fomentando la igualdad de oportunidades sin discriminar por afiliación política, cultura, edad, embarazo, estado civil, género, nacionalidad, nivel socioeconómico, maternidad, paternidad, religión, orientación sexual, origen étnico o tipo de discapacidad. ¡Únete a nuestra comunidad de más de 60 nacionalidades en 4 continentes!",Analista de Datos
Analista de Ejecución Comercial - job post,BIC,"Guayaquil, Provincia del Guayas",,,,"Durante más de 75 años, BIC ha estado creando productos ingeniosamente simples y alegres que forman parte de cada corazón y hogar. Como miembro de nuestro equipo, formarás parte del renacimiento de una marca muy querida a medida que continuamos re imaginando lo esencial de cada día de formas nuevas, sostenibles y responsables. Nuestro enfoque de trabajo de ""arremangarse y hacer el trabajo"" crea un entorno en el que prosperan los emprendedores, los solucionadores de problemas y los pensadores innovadores. Los miembros del equipo BIC están capacitados para asumir la propiedad de sus carreras y aportar sus perspectivas únicas a la mesa para hacer un impacto significativo en nuestra misión. Es un mundo colorido - deja tu huella uniéndote al equipo BIC hoy mismo. Job Description Como Execution Analyst en BIC Ecuador, serás responsable de asegurar la excelencia en la ejecución comercial en el punto de venta, alineada con la estrategia corporativa. Tu rol será clave para garantizar la correcta implementación de iniciativas, visibilidad de marca, activaciones y seguimiento de indicadores operativos, trabajando en estrecha colaboración con equipos internos y externos. Main Responsibilities Dirigir y asegurar la ejecución en punto de venta conforme a la estrategia corporativa. Monitorear el sell-out de distribuidores y proponer acciones para acelerar la rotación. Coordinar exhibiciones adicionales, visibilidad, precios y planogramas en PDV. Capacitar al equipo externo en productos, técnicas de merchandising y competencia. Medir e integrar indicadores operativos como agotados, precios y novedades. Supervisar el uso de material promocional y mantenimiento de activos. Controlar el presupuesto de materiales POP junto con el operador logístico. Generar órdenes de compra (O/R) para materiales y autoconsumos. Liderar licitaciones de materiales de Trade Marketing. Asegurar canales de comunicación abiertos para identificar oportunidades. Projects You'll Work On Ejecución de ferias y eventos con distribuidores. Implementación de estrategias de visibilidad en PDV. Desarrollo de reportes de gestión comercial para equipos internos. Coordinación de entregas oportunas y seguimiento de compromisos con clientes. Mejora continua de procesos de ejecución y comunicación comercial. Apoyo en iniciativas regionales de ejecución si se requiere. Qualifications Formación Académica: Universidad completa en Administración, Ingeniería Comercial, Marketing o carreras afines. Experiencia: Mínimo 2 años en posiciones similares. Conocimiento en productos de consumo masivo y manejo de canales de distribución (moderno, tradicional, papelero). Experiencia en ejecución comercial y coordinación con distribuidores. Habilidades y Competencias: Capacidad de análisis y toma de decisiones. Proactividad, iniciativa y trabajo bajo presión. Comunicación efectiva y manejo de relaciones interpersonales. Planificación, organización y orientación a resultados. Disponibilidad para viajar. Idiomas: Inglés intermedio. Herramientas: Excel avanzado, análisis de datos, reportes operativos. BIC es una empresa que ofrece igualdad de oportunidades. Nos comprometemos firmemente a contratar a personas con diferentes antecedentes y experiencias para ayudarnos a construir mejores productos, tomar mejores decisiones y servir mejor a nuestros clientes. No discriminamos por motivos de raza, religión, color, nacionalidad, sexo, orientación sexual, condición de veterano, discapacidad o características similares. Todos los empleos se deciden en función de las cualificaciones, los méritos y las necesidades de la empresa. BIC no busca ayuda ni acepta currículos no solicitados de empresas consultoras para esta oportunidad de empleo. Independientemente de la práctica anterior, todos los currículos presentados por las empresas consultoras a cualquier miembro del equipo de BIC a través de correo electrónico, o directamente a un miembro del equipo de BIC en cualquier forma sin un acuerdo de búsqueda válida por escrito en su lugar para esa posición se considerará propiedad exclusiva de BIC, y no se pagará ninguna cuota en el caso de que el candidato sea contratado por BIC como resultado de la remisión o por otros medios.",Analista de Datos
Analista de Control Contable - job post,Advising & Recruiting,"Quito, Provincia de Pichincha",,Contrato,,"OBJETIVO DEL CARGO Asegurar la efectividad de los controles internos en los procesos claves de la administración de cartera, mediante la ejecución de pruebas de control, conciliaciones contables y operativas, e identificación de riesgos para garantizar el cumplimiento normativo, la integridad de la información y la eficiencia operativa. DESCRIPCIÓN RESPONSABILIDADES GENERALES Diseño y monitoreo de controles Evaluar el diseño e implementación de controles en los procesos críticos en la administración de cartera Proponer mejoras en los controles existentes para mitigar riesgos operativos. Asesoría técnica y diseño Planificar y ejecutar pruebas periódicas de efectividad de controles (revisiones de muestras, documentación de respaldo, seguimiento de políticas). Documentar hallazgos encontrados. Conciliaciones Realizar conciliaciones bancarias Realizar pruebas departamentales validando materialidad y razonabilidad Realizar pago de seguros Validación previa de pago de proveedores externo de administración de cartera Informes y reportes Identificar errores, omisiones, duplicidades u operaciones inusuales. Preparar informes de control interno con hallazgos, y alertas. Proponer mejoras a los procesos FORMACIÓN ACADÉMICA Profesional en Ingeniera en Finanzas, contabilidad, auditoria, administración o carreras afines. REQUERIMIENTOS PROFESIONALES Mínimo 3 años de experiencia en control interno, auditoría o áreas de riesgos en instituciones financieras o empresas de créditos. Conocimientos sólidos en contabilidad bancaria. Experiencia en manejo de herramientas para conciliaciones y análisis de datos, incluyendo Excel avanzado y Power BI. Conocimiento en elaboración y seguimiento de matrices de riesgo. Experiencia con normas de control interno, especialmente COSO. Nivel de inglés básico COMPETENCIAS PERSONALES Orientación al logro Comunicación asertiva Pensamiento analítico Orientación al orden Enfoque en la calidad y el cumplimiento de estándares BENEFICIOS Seguro médico y de vida con 100% de cobertura. Medio día libre valido en el mes de cumpleaños. Pago de utilidades. TIPO DE CONTRATO Dependencia, Directo con la compañía. HORARIO LABORAL Lunes a Viernes 9:00a.m - 18:00 p.m.",Analista de Datos
Analista de bodega - job post,Sedemi,Provincia de Pichincha,,Contrato,,"Te apasiona la logística, el control de inventarios y el análisis de datos? ¡Esta es tu oportunidad para unirte a SEDEMI y formar parte de una empresa líder en servicios industriales! ¡Es tu oportunidad de marcar la diferencia! Empresa Constructora dedicada a brindar soluciones a la medida para proyectos de infraestructura con enfoque en una cultura de servicio y generación de valor para nuestros stakeholders. Somos SEDEMI Construye el cambio Requisitos Formación: Título de tercer nivel en: Administración de Empresas, Ingeniería Industrial, Logística. Experiencia: De 1 a 2 años en cargos similares, con experiencia en: Análisis de niveles de inventario Indicadores de rotación Reaprovisionamiento de materiales Control de stocks mínimos y máximos Conocimientos: Demand & Supply Planning Gestión de inventarios Excel (intermedio) Power BI y R Studio (deseable) Herramientas de mejora continua Análisis estadístico Conocimientos en el uso de ERP Infor LN Beneficios Remuneración fija Afiliación al IESS Alimentación + Parqueadero",Analista de Datos
COORDINADOR DE INFORMACIÓN TERRITORIAL - job post,cbc,"Guayaquil, Provincia del Guayas",,,,"Descripción de la empresa Somos una compañía comercializadora de bebidas y alimentos con 137 años de experiencia y operaciones en Centroamérica, el Caribe y Sudamérica. Contamos con el portafolio de productos más grande de la región y trabajamos junto a nuestros socios estratégicos Pepsico, Ambev y Beliv ofreciendo soluciones innovadoras a nuestros clientes. En CBC sabemos construir vínculos sólidos y duraderos. Sabemos escuchar a los consumidores para entender sus necesidades y ofrecerles las mejores marcas en las distintas ocasiones de consumo. Llevamos sabor y frescura al mundo con la ambición de convertirnos en una compañía multicategoría que siga expandiendo sus horizontes. Lo hacemos con el entusiasmo de ver sonreír a nuestro equipo, a los nuestros y a quienes disfrutan lo que hacemos. Nuestra cultura y energía transformadora tienen a la pasión como el motor que nos impulsa a ser mejores y a conquistar nuevos desafíos. Trabajamos con el disfrute de hacer juntos lo imposible. Descripción del empleo Desarrollar e implementar soluciones de Business Intelligence demandadas por el negocio y el canal a cargo que generen insights para la toma de decisiones ágiles en las diferentes áreas basado en el análisis de los requerimientos de datos con el objetivo de construir los indicadores, reportes, bases y arquitecturas que sean necesarias. Requisitos FINALIDADES ESPECÍFICAS Identificar insights y/o oportunidades relevantes para el negocio para facilitar el desarrollo de estrategias de las diferentes áreas. Dirigir e implementar el diseño de soluciones de Business Intelligence; explorando las alternativas disponibles y asistiendo a los equipos de análisis de información de las áreas de negocio. Dar mantenimiento a las soluciones creadas con el fin de conservar la calidad de la información y continuar la entrega de valor. Extraer, almacenar y organizar datos de nuevas fuentes de información aportando valor al negocio. Experiencia de dos años como Analista de Datos, Analista BI. Profesional en Ingeniería en Sistemas, Estadística, Inteligencia de Negocios. Cocimientos en: SQL Básico Excel Intermedio PBI Intermedio Información adicional La misión de Grupo Mariposa es fomentar el crecimiento y la sostenibilidad dentro de la industria global de alimentos y bebidas. Estamos comprometidos con la excelencia a través de una gestión disciplinada, prácticas innovadoras y una cultura dinámica que acepta el cambio.",Analista de Datos
"Desarrollador Topaz + NET Hibrido Quito, Ecuador y Uruguay - job post",Sofka,"Quito, Provincia de Pichincha",,Contrato,Presencial,"¿Estás buscando nuevos desafíos y un lugar donde puedas disfrutar de un ambiente cercano mientras aprendes constantemente? ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! ¡Prepárate y únete a esta aventura! ¿Qué encontrarás? Retos técnicos y personales que te mantendrán en constante crecimiento. Un equipo conectado, enfocado en tu bienestar físico y mental. Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte. KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional. ¿Qué buscamos? Buscamos un Ingeniero de Desarrollo Semi Senior con una pasión comprobada por la tecnología y la banca, con 3 a 5 años de experiencia sólida desarrollando aplicaciones robustas en .NET Framework y .NET Core. Si posees profundo conocimiento en el diseño e integración de servicios SOAP y RESTful, manejo avanzado de bases de datos relacionales (Oracle/SQL Server) y estás comprometido con las buenas prácticas de desarrollo seguro, eres la persona que necesitamos. Responsabilidades Desarrollar y mantener el Core Bancario, tanto en el frontend como en el backend, asegurando su alineación con los requerimientos del negocio. Diseñar, codificar, probar e implementar nuevas funcionalidades de backend utilizando el stack .NET, siguiendo estrictos estándares de desarrollo seguro. Participar activamente en análisis técnico-funcional con líderes técnicos y analistas de negocio para definir soluciones. Integrar sistemas internos y externos a través de APIs, web services o mensajería, garantizando la fluidez de las operaciones. Documentar de manera clara y precisa los componentes desarrollados, la arquitectura y los flujos técnicos implementados. Realizar mantenimiento correctivo y evolutivo de sistemas existentes para garantizar su operatividad y eficiencia. Diseñar la arquitectura de soluciones tecnológicas desde su conceptualización hasta la implementación. Requisitos Formación: Título universitario de Ingeniería en Sistemas, Informática o carreras afines. Experiencia: Mínimo 3 a 5 años en desarrollo de aplicaciones utilizando .NET Framework y .NET Core. Indispensable experiencia en diseño, desarrollo e integración de servicios SOAP y RESTful (WCF, ASP.NET Web API) y manejo de bases de datos relacionales (Oracle, SQL Server, Stored Procedures). Conocimientos Técnicos Lenguajes / Frameworks: C#, .NET Core / .NET 6+, ASP.NET MVC / Web API. ORMs: Entity Framework, LINQ. Bases de datos: Oracle (Stored Procedures, Views, Indexes) y SQL Server (Stored Procedures, Views, Indexes). Seguridad: Autenticación/autorización (JWT, OAuth), OWASP Top 10. Protocolos de Comunicación: SOAP/XML, JSON, REST. Control de Versiones: Git / GitHub / GitLab. Deseable: Experiencia con Core Bancario TOPAZ, MEDIATOR (Alexsoft S.A.) y administración/configuración de IIS. Personas apasionadas, dispuestas a dar lo mejor de sí mismas. ¡PRESENTATE y sé parte de esta historia! Condiciones Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo! ¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! Posición 100% presencial en Quito, Ecuador o Uruguay",Analista de Datos
QA Specialist - job post,Tort Experts,Desde casa,,,Remoto,"About Tort Experts At Tort Experts, we are redefining the landscape of performance marketing in the legal sector. Our mission is to democratize access to information for individuals who have been injured, connecting them with law firms that can truly advocate for their rights and achieve successful outcomes. As an innovative, vertically integrated legal case acquisition marketing company, we leverage cutting-edge technology, data-driven insights, and a commitment to transparency to disrupt the status quo. Joining Tort Experts means becoming part of a dynamic team that is passionate about making a meaningful impact. We foster a collaborative environment where creativity thrives, and every team member plays a vital role in connecting qualified claimants with the representation they deserve. If you’re looking for a workplace where your contributions can truly make a difference, and where innovation meets purpose, Tort Experts is the perfect place for you. About the role We are seeking a detail-oriented and proactive QA Specialist to join our team. This remote role is responsible for testing all technical builds to ensure that new feature requests meet defined success criteria and that existing features remain fully functional. The QA Specialist will work closely with Product, Marketing, Engineering, and Data teams to validate user experiences and data flows across various systems, including lead flow automations, landing pages, Retool applications, and Looker reports. What you'll do Conduct thorough testing on all new feature releases, enhancements, and bug fixes. Validate that builds meet defined success criteria and business requirements. Perform regression testing to confirm that existing functionality remains stable. Develop, maintain, and execute test plans and test cases for web applications, automations, and reporting dashboards. Test lead flow and integrations across systems such as Salesforce, Retool, landing pages, and marketing automation platforms. Verify data accuracy in Looker reports and other analytics tools. Identify, document, and track bugs through resolution using issue management tools. Collaborate with developers and stakeholders to communicate issues, retest fixes, and confirm resolutions. Recommend improvements to QA processes, tools, and documentation. Qualifications 2+ years of experience in Quality Assurance or a similar testing role. Experience testing web applications, automations, and analytics/reporting tools. Strong understanding of QA methodologies, processes, and tools. Experience with tools such as Retool, Looker, Salesforce, or marketing automation is preferred. Excellent attention to detail and ability to document and communicate findings clearly. Strong analytical and problem solving skills. Comfortable working remotely and managing priorities across multiple projects. Familiarity with data validation and testing ETL processes. Basic understanding of SQL or database queries for validating report data. Must be available 9am - 5pm Eastern Time Benefits Uncapped quarterly profit-sharing bonuses based on company performance 100% company-paid monthly premiums for Fortune 500 level quality insurance plans for you and any/all dependents (US based employees): medical (Aetna) dental (Guardian) vision (Guardian) 100% company match on any employee contributions to either HSA or FSA flex benefits plans (US based employees): $500 free FSA company contribution, even if $0 employee contribution 401k plan with full company match of up to 6% of salary and no vesting period required (US based employees) Unlimited paid time off with planned role/responsibilities coverage Work from home equipment budget (at company's discretion) Forever remote work environment Why Join Us? At Tort Experts, we believe in empowering our team members with growth opportunities, a flexible work environment, and the chance to make a tangible impact. If you thrive in fast-paced environments and are driven, client-focused, and eager to contribute to our mission of connecting clients with top-tier legal representation. Are you ready to lead the next wave of growth in legal marketing? Apply today and help us transform access to justice! Please note that you may receive emails on behalf of Tort Experts from no-reply@ats.rippling.com. This is not spam and has been sent from our HR/Payroll system, Rippling. If you are selected to move forward in the process, we will contact you directly. We kindly ask that you do not reach out to inquire about the status of your application. Due to the volume of submissions, we are unable to respond to individual application status requests. AA/EEO Statement: Tort Experts provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This applies to all terms and conditions of employment.",QA
QA Engineer [ALL LATAM] - job post,Tekton Labs,Desde casa,,Contrato,Remoto,"¡Buscamos un QA Engineer (Híbrido: automation y manual) en Tekton Labs! ¿Eres un apasionado por la calidad del software y quieres llevar tu carrera al siguiente nivel? ✨ En Tekton Labs estamos buscando un QA Engineer para unirse a nuestro equipo global y trabajar en proyectos internacionales desafiantes. ✅ Lo que buscamos: +3 años de experiencia en QA y metodologías de aseguramiento de calidad. Experiencia diseñando y desarrollando frameworks de automatización robustos y escalables. Conocimiento sólido en metodologías de testing, test plans y depuración de errores. Experiencia con pruebas de rendimiento y herramientas de testing de API. Habilidades organizativas para documentar y registrar con precisión bugs e issues sistémicos. Familiaridad con Jira, SonarQube, Jenkins, GitHub y Gherkin. Experiencia con al menos una herramienta de automatización: Cucumber / Cypress / Selenium / Appium Experiencia con al menos una herramienta de performance testing: SOAPUI / Postman Lo que ofrecemos: Proyecto inicial de 10 meses (con posibilidad de extensión). Pago mensual: 1800 - 2000 USD (modalidad contractor, vía billetera digital). Horario laboral: 08:30 am – 05:30 pm (GMT-5, Ecuador). Trabajo 100% remoto, desde cualquier parte del mundo. Día libre en tu cumpleaños. Growth Path: acceso a plataformas de aprendizaje y proyectos multiculturales. Cursos gratuitos en O'Reilly y Coursera. Partnership con AWS (descuentos en certificaciones). Apoyo económico para certificaciones técnicas. Laptop entregada según requerimientos del cliente. Clases de inglés (con English Coach). Bonos por referidos. Beneficios adicionales: 15 días de vacaciones anuales. Reconocimiento de los feriados oficiales de Ecuador. Pago puntual desde TK USA, 12 sueldos al año.",QA
QA MANUAL JUNIOR - 2025-KRU-ST-000110 - job post,XKTalent Inc. - Rimutee,"Quito, Provincia de Pichincha",,Contrato,,"¡Ú é ! En Kruger, buscamos un é apasionado por la calidad del software, con habilidades en pruebas funcionales y gestión de defectos. Si disfrutas garantizar productos de alta calidad, colaborar con equipos de desarrollo y mejorar continuamente los procesos de testeo, ¡esta es tu oportunidad! ó: Quito, Ecuador : Híbrida : +2 año de experiencia en pruebas de software Conocimiento en pruebas manuales y técnicas de testeo Conocimiento en pruebas de servicios web con Postman/Jmeter/Karate Familiaridad con herramientas de gestión de proyectos y seguimiento de errores (JIRA, Bugzilla, etc.) Capacidad para leer y entender especificaciones de software y casos de prueba Habilidades de comunicación y trabajo en equipo Inglés intermedio-avanzado",QA
QA Engineer | ECU - job post,Sofka,"Quito, Provincia de Pichincha",,Contrato,Presencial,"Esta no es una vacante convencional Sofka Talent Day – Ecuador Estás a punto de postularte a una experiencia única: Un evento presencial exclusivo para perfiles TI seleccionados. Si tu perfil se alinea con esta vacante, tendrás la oportunidad de: Participar en un proceso corto virtual (reto técnico y/o entrevista técnica) Y si avanzas, serás invitado/a a una jornada presencial en Quito Con charlas, entrevistas en vivo y conexión directa con nuestra cultura ¿Quieres vivir Sofka desde adentro? Sigue leyendo y postúlate. ¡Esta experiencia puede ser para ti! ¿Qué buscamos? Estamos buscando un/a QA Engineer con experiencia en pruebas manuales y automáticas, capaz de diseñar estrategias de pruebas funcionales y no funcionales, contribuir a la automatización, monitorear la calidad del software y aplicar prácticas internacionales a lo largo del ciclo de vida del desarrollo. Lo que harás: Participar en eventos ágiles del equipo y definición de criterios de aceptación. Diseñar estrategias y planes de prueba en formato BDD. Ejecutar pruebas funcionales y no funcionales según la estrategia definida. Gestionar defectos y documentar resultados. Identificar riesgos de calidad y flujos candidatos para automatización. Implementar pruebas automatizadas para aplicaciones frontend (web, móviles) y backend (servicios). Contribuir a la creación de métricas de calidad (bugs, cobertura, calidad de código). Automatizar pruebas de rendimiento y seguridad. Monitorear ambientes no productivos y productivos. Lo que buscamos en ti: Experiencia: Conocimiento sólido en QA y automatización (ideal ISTQB FL/AT). Conocimientos en: Procesos y tipos de pruebas. Herramientas de gestión (Jira X-ray, Confluence). Automatización con SerenityBDD, Screenplay, Gherkin-Cucumber, Karate, Gradle, Appium. Pruebas de performance con JMeter, K6. Pruebas de seguridad con OWASP ZAP. Integración y despliegue continuo (CI/CD con Azure DevOps). Versionamiento con Git. Bases de datos: SQL, Oracle, DB2, Postgres. Conocimientos en analítica de datos y prácticas Shift Left/Right. Tecnologías y herramientas: Automatización: SerenityBDD, Cucumber, Karate, Appium, Gradle. Performance: JMeter, K6. Seguridad: OWASP ZAP. Gestión: Jira X-ray, Confluence. Versionamiento: Git, Azure DevOps. BD: SQL, Oracle, DB2, Postgres. Habilidades clave: Comunicación asertiva. Negociación efectiva. Aprendizaje y adaptación rápida. Autodesarrollo. Pensamiento disruptivo. ¡PRESENTATE y sé parte de esta historia! Condiciones Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo! ¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer!",QA
QA Tester - job post,Centella Talent,"Guayaquil, Provincia del Guayas",,Contrato,,"Requisitos: Profesionales en carreras de Ingeniería en Ciencia de la Computación, Sistemas Computacionales, Ingeniería en Software o carreras afines. Experiencia: Más de 2 años de experiencia en proyectos de TI, desempeñando los roles de QA tester, analista y programador. 1 año de experiencia en implementación de proyectos como QA Tester. Conocimientos: Familiarización con metodologías ágiles y CI/CD. Jmeter para pruebas de estrés. Postman y SoapUI. Python",QA
