titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
ANALISTA MERCADEO - job post,PLASTICAUCHO INDUSTRIAL,"Ambato, Provincia del Tungurahua",,,,Analista de Datos,"c++, r, git, excel","trabajo en equipo, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, proactividad, inglés avanzado"
Analista de Tecnica Aduanera - job post,DHL,"Guayaquil, Provincia del Guayas",,,tiempo completo,Analista de Datos,"r, excel, restful apis, scrum, machine learning","trabajo en equipo, adaptabilidad, gestión del tiempo, inglés avanzado, servicio al cliente"
ANALISTA DE PLANIFICACIÓN DE VENTA Y FACTURACIÓN - job post,ChevyPlan,"Guayaquil, Provincia del Guayas",,Remoto,tiempo completo,Analista de Datos,r,"trabajo en equipo, resolución de problemas, orientación a resultados, atención al detalle, planificación"
Analista de Business Intelligence - job post,Veolia,"Guayaquil, Provincia del Guayas",,,,Analista de Datos,"sql, r, restful apis, machine learning, powerpoint, salesforce, crm","trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, creatividad, pensamiento crítico, inglés avanzado, presentaciones"
ANALISTA PROGRAMACION DE LA PRODUCCION - job post,Sigma Alimentos,Provincia de Pichincha,,,,Analista de Datos,"r, sap, erp","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, pensamiento crítico"
Analista de Ejecución Comercial - job post,BIC,"Guayaquil, Provincia del Guayas",,,tiempo completo,Analista de Datos,"c++, r, excel, machine learning, erp","trabajo en equipo, comunicación, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, proactividad, gestión del tiempo, creatividad, pensamiento crítico, inglés avanzado, planificación"
Analista de Control Contable - job post,Advising & Recruiting,"Quito, Provincia de Pichincha",,,,Analista de Datos,"r, excel, power bi","comunicación, resolución de problemas, atención al detalle, pensamiento crítico, inglés avanzado"
Analista de bodega - job post,Sedemi,Provincia de Pichincha,,,,Analista de Datos,"r, excel, power bi, erp","liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, inglés avanzado, planificación"
COORDINADOR DE INFORMACIÓN TERRITORIAL - job post,cbc,"Guayaquil, Provincia del Guayas",,,tiempo completo,Analista de Datos,"c++, sql, r, excel, scrum, bi","trabajo en equipo, resolución de problemas, adaptabilidad, atención al detalle, creatividad, pensamiento crítico, inglés avanzado"
"Desarrollador Topaz + NET Hibrido Quito, Ecuador y Uruguay - job post",Sofka,"Quito, Provincia de Pichincha",,Presencial,tiempo completo,Analista de Datos,"javascript, c#, c++, sql, r, git, restful apis, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, aprendizaje continuo, gestión del tiempo, mentoría"
QA Specialist - job post,Tort Experts,Desde casa,,Remoto,,QA,"c++, sql, r, aws, excel, machine learning, teams, salesforce, testing, casos de prueba, test automation","trabajo en equipo, resolución de problemas, adaptabilidad, atención al detalle, proactividad, creatividad"
QA Engineer [ALL LATAM] - job post,Tekton Labs,Desde casa,,Remoto,,QA,"r, scala, aws, jenkins, git, jira, selenium, cypress, appium, postman, soapui, restful apis, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation","trabajo en equipo, aprendizaje continuo, atención al detalle, inglés avanzado"
QA MANUAL JUNIOR - 2025-KRU-ST-000110 - job post,XKTalent Inc. - Rimutee,"Quito, Provincia de Pichincha",,,tiempo completo,QA,"r, jira, jmeter, postman, pruebas manuales, pruebas automatizadas, casos de prueba, test automation","trabajo en equipo, comunicación, atención al detalle, inglés avanzado, gestión de proyectos"
QA Engineer | ECU - job post,Sofka,"Quito, Provincia de Pichincha",,Presencial,,QA,"sql, r, azure, git, jira, confluence, appium, jmeter, scrum, ci/cd, devops, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, negociación"
QA Tester - job post,Centella Talent,"Guayaquil, Provincia del Guayas",,,,QA,"python, r, jmeter, postman, soapui, scrum, ci/cd, pruebas manuales, pruebas automatizadas, casos de prueba, test automation","atención al detalle, comunicación, pensamiento crítico"
QA Tutor - job post,TripleTen,Desde casa,,Remoto,tiempo completo,QA,"python, c++, r, git, selenium, restful apis, machine learning, bi, testing, casos de prueba, test automation","trabajo en equipo, comunicación, aprendizaje continuo, inglés avanzado"
QA Automatizador | ECU - job post,Sofka,"Quito, Provincia de Pichincha",,Presencial,,QA,"java, javascript, python, sql, r, azure, git, jira, cypress, appium, jmeter, excel, restful apis, scrum, ci/cd, redis, mongodb, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo"
Docentes Especialistas en QA LATAM (Medio tiempo) - job post,TripleTen,Desde casa,,,,QA,"python, sql, r, selenium, postman, soapui, restful apis, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, inglés avanzado"
Part-time Data Science Code Reviewer LATAM - job post,TripleTen,Desde casa,,Presencial,tiempo completo,QA,"python, r, git, machine learning, bi","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, inglés avanzado, mentoría"
"QA Semisenior | Híbrido en Uruguay, Colombia y Ecuador - job post",Sofka,"Quito, Provincia de Pichincha",,Presencial,,QA,"java, python, sql, r, cypress, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation","trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, pensamiento crítico, mentoría"
QA Automation Engineer - Sector Financiero/Bancario - job post,Devsu,"Santo Domingo de los Colorados, Provincia de Santo Domingo de los Tsáchilas",,,tiempo completo,QA,"c++, sql, r, git, cypress, appium, scrum, ci/cd, mongodb, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Ingeniero de Datos (Enfoque en Validación y Calidad) - job post,Neoris,"Quito, Provincia de Pichincha",,Híbrido,,QA,"java, javascript, python, sql, r, aws, azure, gcp, git, scrum, ci/cd, devops, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, resolución de problemas, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Líder QA | Sector Financiero - job post,Neoris,"Quito, Provincia de Pichincha",,,tiempo completo,QA,"java, javascript, r, scala, aws, azure, git, jira, cypress, appium, jmeter, excel, scrum, ci/cd, devops, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation","trabajo en equipo, comunicación, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo, creatividad, pensamiento crítico, gestión de proyectos"
Web Development Teaching Experts LATAM - job post,TripleTen,Desde casa,,Presencial,,QA,"java, javascript, html/css, r, git, machine learning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, inglés avanzado, mentoría"
Data Analytics Teaching Experts LATAM - job post,TripleTen,Desde casa,,Presencial,tiempo completo,QA,"python, sql, r, git, excel, bi","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, inglés avanzado, mentoría"
Tech Lead - job post,Kushki Pagos,"Quito, Provincia de Pichincha",,,tiempo completo,QA,"java, javascript, python, c++, r, kotlin, swift, go, scala, aws, excel, restful apis, scrum","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad, pensamiento crítico, planificación"
Technical Lead - job post,Kyndryl,"Quito, Provincia de Pichincha",,,,QA,"java, c++, sql, r, go, scala, azure, excel, restful apis, devops, machine learning, teams","trabajo en equipo, comunicación, aprendizaje continuo"
Senior Backend Engineer - job post,Ultimate Jet Vacations,Desde casa,,,tiempo completo,QA,"java, javascript, php, c++, sql, r, scala, next.js, aws, git, restful apis, scrum, machine learning, teams, linux, crm","trabajo en equipo, atención al detalle, planificación"
Project Manager - job post,Curotec,Provincia del Azuay,,Remoto,,QA,"c++, r, scala, jira, excel, scrum, machine learning, teams","trabajo en equipo, comunicación, liderazgo, proactividad, planificación"
Senior Sales Team Leader LATAM - job post,TripleTen,Desde casa,,Remoto,tiempo completo,QA,"c++, r, machine learning, teams, crm","trabajo en equipo, comunicación, orientación a resultados, inglés avanzado, mentoría"
Software Engineer (Ruby on Rails) - job post,Curotec,Provincia del Azuay,,,,QA,"java, sql, r, go, scala, azure, kubernetes, excel, restful apis, ci/cd, devops, machine learning, teams","trabajo en equipo, comunicación"
"Arquitecto de Soluciones Senior Hibrido en Quito, Ecuador - job post",Sofka,"Quito, Provincia de Pichincha",,Remoto,,QA,"javascript, sql, r, scala, aws, kubernetes, docker, jira, confluence, cypress, appium, microservicios, restful apis, ci/cd, kafka, rabbitmq, mongodb, machine learning","trabajo en equipo, comunicación, liderazgo, aprendizaje continuo, gestión del tiempo, mentoría"
C# Senior Software Engineer - job post,Sovos Compliance,"Quito, Provincia de Pichincha",,,,QA,"java, javascript, c#, c++, html/css, sql, r, scala, azure, git, restful apis, scrum, ci/cd, devops, machine learning, teams","trabajo en equipo, liderazgo, aprendizaje continuo, mentoría"
"Engineering Manager (Laravel, PHP, AWS) - job post",Curotec,Provincia del Azuay,,,,QA,"php, r, aws, git, excel, scrum, teams, erp","trabajo en equipo, comunicación, liderazgo, pensamiento crítico, mentoría, gestión de proyectos"
Senior Full-stack Developer (Laravel/Vue.js/Nuxt.js) - job post,Curotec,Provincia del Azuay,,Remoto,,QA,"java, javascript, php, c++, r, nuxt.js, docker, restful apis, machine learning, teams, erp, desarrollo web, desarrollo de software","trabajo en equipo, creatividad, inglés avanzado"
Desarrollador - job post,Centella Talent,"Guayaquil, Provincia del Guayas",,,tiempo completo,Desarrollador de Software,"c#, r, erp, programación, desarrollo de software","resolución de problemas, adaptabilidad, atención al detalle, gestión del tiempo, pensamiento crítico"
Desarrollador Full Stack Semi Senior - job post,.forEach,"Quito, Provincia de Pichincha",,Remoto,tiempo completo,Desarrollador de Software,"java, javascript, sql, r, scala, next.js, aws, docker, git, restful apis, mongodb, machine learning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, atención al detalle, gestión del tiempo, servicio al cliente, gestión de proyectos, planificación"
Ingenieros de Software | ECU - job post,Sofka,"Quito, Provincia de Pichincha",,Presencial,,Desarrollador de Software,"java, javascript, python, c#, sql, r, go, aws, azure, gcp, kubernetes, docker, git, jira, confluence, microservicios, restful apis, scrum, ci/cd, devops, kafka, redis, mongodb","aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Desarrollador Backend NestJS Semisenior - job post,Sofka,"Quito, Provincia de Pichincha",,,tiempo completo,Desarrollador de Software,"javascript, r, scala, aws, azure, kubernetes, microservicios, restful apis, ci/cd, kafka, rabbitmq, machine learning, desarrollo web, programación, desarrollo de software","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Instructor de Desarrollo Web LATAM - job post,TripleTen,Desde casa,,Presencial,,Desarrollador de Software,"java, javascript, html/css, r, git, machine learning, bi","trabajo en equipo, liderazgo, aprendizaje continuo, inglés avanzado"
Part-time Data Science Code Reviewer LATAM - job post,TripleTen,Desde casa,,Presencial,tiempo completo,Desarrollador de Software,"python, r, git, machine learning, bi","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, inglés avanzado, mentoría"
Desarrollador Backend Middle - job post,PhCodes Ec,"Ambato, Provincia del Tungurahua",,Remoto,,Desarrollador de Software,"java, c++, sql, r, docker, git, excel, microservicios, scrum, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
Desarrollador JAVA SR - job post,Sofka,"Quito, Provincia de Pichincha",,,,Desarrollador de Software,"java, sql, r, scala, aws, azure, gcp, kubernetes, docker, jenkins, git, microservicios, restful apis, ci/cd, devops, kafka, rabbitmq, redis, mongodb, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Desarrollador JAVA SR - job post,Sofka,"Quito, Provincia de Pichincha",,,tiempo completo,Desarrollador de Software,"java, sql, r, scala, aws, azure, gcp, kubernetes, docker, jenkins, git, microservicios, restful apis, ci/cd, devops, kafka, rabbitmq, redis, mongodb, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
SCRUM MASTER - job post,Vimeworks Cia. Ltda.,"Quito, Provincia de Pichincha",,,tiempo completo,Desarrollador de Software,"r, scrum, machine learning","trabajo en equipo, comunicación, liderazgo, orientación a resultados, aprendizaje continuo, gestión del tiempo, planificación"
Desarrollador NestJS Senior (Ecuador-Uruguay-Colombia) - job post,Sofka,"Quito, Provincia de Pichincha",,Remoto,,Desarrollador de Software,"javascript, r, scala, aws, kubernetes, microservicios, restful apis, ci/cd, kafka, rabbitmq, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, aprendizaje continuo, mentoría"
Desarrollador Full Stack - job post,Double V Partners,"Guayaquil, Provincia del Guayas",,Presencial,,Desarrollador de Software,"javascript, c#, sql, r, kotlin, swift, git, restful apis, scrum, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, orientación a resultados, atención al detalle, gestión del tiempo"
Web Development Teaching Experts LATAM - job post,TripleTen,Desde casa,,Presencial,,Desarrollador de Software,"java, javascript, html/css, r, git, machine learning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, inglés avanzado, mentoría"
Docentes Especialistas en QA LATAM (Medio tiempo) - job post,TripleTen,Desde casa,,,tiempo completo,Desarrollador de Software,"python, sql, r, selenium, postman, soapui, restful apis, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, inglés avanzado"
Desarrolladores Java | ECU - job post,Sofka,"Quito, Provincia de Pichincha",,Presencial,,Desarrollador de Software,"java, r, scala, docker, microservicios, restful apis, machine learning, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad, pensamiento crítico"
Part-Time Data Analytics Instructor LATAM - job post,TripleTen,Desde casa,,Presencial,,Desarrollador de Software,"java, javascript, html/css, r, git, machine learning, bi","trabajo en equipo, liderazgo, aprendizaje continuo, inglés avanzado"
Desarrollador Trainee de Cobol (Para personas en situación de discapacidad) - job post,Indra Minsait,"Guayaquil, Provincia del Guayas",,Presencial,tiempo completo,Desarrollador de Software,"sql, r, git, excel, machine learning, linux, windows, desarrollo web, desarrollo móvil, programación, desarrollo de software","trabajo en equipo, resolución de problemas, adaptabilidad, aprendizaje continuo, gestión del tiempo"
Desarrollador Full Stack C# - job post,Iroute Solutions,"Guayaquil, Provincia del Guayas",,,,Desarrollador de Software,"java, javascript, c#, c++, html/css, sql, r, aws, restful apis, scrum, machine learning, desarrollo web, desarrollo de software","gestión del tiempo, trabajo en equipo, resolución de problemas, aprendizaje continuo"
Experto Funcional ATMs – Senior - Quito Ecuador - job post,Sofka,"Quito, Provincia de Pichincha",,,tiempo completo,Desarrollador de Software,"r, scala, jira, scrum, ci/cd, devops, machine learning","trabajo en equipo, liderazgo, aprendizaje continuo, gestión del tiempo, creatividad, pensamiento crítico, mentoría"
Content Designer UX/UI - job post,Double V Partners,"Guayaquil, Provincia del Guayas",,Presencial,tiempo completo,Desarrollador de Software,"r, git, scrum, figma","trabajo en equipo, comunicación, resolución de problemas, atención al detalle, gestión del tiempo"
Content Designer UX/UI - job post,Double V Partners,"Guayaquil, Provincia del Guayas",,Presencial,tiempo completo,Desarrollador de Software,"r, git, scrum, figma","trabajo en equipo, comunicación, resolución de problemas, atención al detalle, gestión del tiempo"
"Arquitecto de Soluciones Presencial Quito, Ecuador - job post",Sofka,"Quito, Provincia de Pichincha",,Presencial,tiempo completo,Desarrollador de Software,"java, sql, r, scala, aws, azure, gcp, git, excel, microservicios, restful apis, ci/cd, devops, kafka, rabbitmq, mongodb, machine learning","trabajo en equipo, comunicación, liderazgo, aprendizaje continuo, gestión del tiempo, pensamiento crítico, mentoría"
"Arquitecto de Soluciones Presencial Quito, Ecuador - job post",Sofka,"Quito, Provincia de Pichincha",,Presencial,,Desarrollador de Software,"java, sql, r, scala, aws, azure, gcp, git, excel, microservicios, restful apis, ci/cd, devops, kafka, rabbitmq, mongodb, machine learning","trabajo en equipo, comunicación, liderazgo, aprendizaje continuo, gestión del tiempo, pensamiento crítico, mentoría"
Key Account Manager (KAM) Quito - job post,LIFULL Connect,"Quito, Provincia de Pichincha",,,tiempo completo,Desarrollador de Software,"r, git, salesforce, crm","trabajo en equipo, comunicación, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, pensamiento crítico, negociación"
"Desarrollador JAVA SR, Remoto LATAM - job post",Sofka,"Quito, Provincia de Pichincha",,,,Desarrollador de Software,"java, javascript, python, sql, r, scala, azure, jenkins, git, jira, confluence, excel, microservicios, scrum, ci/cd, devops, rabbitmq, mongodb, machine learning, teams, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad, mentoría"
