index,titulo,empresa,ubicacion,salario,experiencia,jornada,modalidad,fecha_publicacion,caracteristicas,descripcion
11,analista programador,ANS del Ecuador,"Guayaquil, Guayas",,1+ años de experiencia,"temporal, jornada completa",,,"informática | guayaquil,guayas | temporal, jornada completa | 1+ años de experiencia","Dominio de Lenguajes de Programación JAVA y PHP. Experiencia mínimo de un año en: SQL (preferiblemente en bases de datos MSSQL, MySQL); WEB (CSS3, HTML, Bootstrap, Java, Script, JQuery); IDE´s de desarrollo(Netbeans, Eclipse). Evaluaremos conocimientos técnicos y competencias relacionadas con análisis lógico y analítico, orientación a resultados y proactividad. Enviar CV favor incluir aspiración Salarial"
12,analista marketing - mujeres,PARMEG S.A,"GUAYAQUIL, Guayas",450 USD año,1+ años de experiencia,"indefinido, jornada completa",,,"administración,diseño,marketing | 450 USD año | guayaquil,guayas | indefinido, jornada completa | 1+ años de experiencia","EMPRESA DE SERVICIO INTEGRAL (OBRA CIVIL, CONSTRUCCION, SEGURIDAD, ELECTRICA, DATOS, ENTRE OTROS) BUSCA CONTRATAR ING COMERCIAL, EMPRENDIMIENTO, VENTAS, MARKETING O AFINES PARA DESEMPEÑARSE COMO: - Asesor Comercial:. Es importante constar con conocimientos en: Experiencia en Ventas de Servicios, de preferencia con experiencia en ventas corporativas y organización de cursos o capacitaciones - Indispensable Conocimientos para elaborar campañas de Marketing. Manejo de ventas por Tele marketing y Visitas de clientes Manejo de Redes Sociales (LinkedIn, Twitter, Youtube, Instagram, Facebook, Whatsapp Empresarial) para difusión y promoción de los servicios. Manejo de Presupuestos Comerciales Disponibilidad para hacer trabajo en dos modalidades: Oficina y Teletrabajo. PERFIL NECESARIO: Muy Buenas habilidades de comunicación Orientación al logro de objetivos, Buena presencia, Ser proactivo y empático, Capacidad de negociación. SE OFRECE: Sueldo Fijo y sueldo variable (comisión por ventas). Estabilidad Laboral Buen ambiente de trabajo Capacitación constante. Tener entre 18 - 35 años."
13,analista de programas,Childfund International,"Quito, Pichincha [inc.Quito]",1200 USD no especificado,2+ años de experiencia,"temporal, jornada completa",,,"quito,pichincha [inc.quito] | administración | 1200 USD no especificado | 2+ años de experiencia | temporal, jornada completa","Propósito del cargo: El analista de Programas trabajará conjuntamente en el procesamiento de información proveniente de los socios locales tanto en los niveles de monitoreo establecidos por la Organización cuanto para responder a los requerimientos gubernamentales. El analista de Programas tiene por responsabilidad principal el procesamiento de datos a diferentes niveles para la generación de reportes, alertas tempranas en la toma de decisiones y la rendición de cuentas internas y externas. Generará instrumentos para consolidación de información y reportes automatizados. Responsabilidades Principales • Generar matrices base. • Generar reportes consolidados y matrices semaforizadas de desempeño mensual. • Procesar la información de coberturas y alcances cuantitativos de Programas del año 2017 • Procesar bases de información de coberturas de afiliados para generar alertas tempranas de indicadores. • Procesar información consolidada de ""conteo de beneficiarios"" del año fiscal 2018 Profesión: Licenciatura Multilingüe en Negocios y Relaciones Internacionales, Ing. en Administración de Empresas o Estadístico Requisitos específicos: • Al menos 2 años de experiencia en procesamiento de datos cuantitativos y cualitativos • Al menos 2 años de experiencia en manejo de sistemas estadísticos • Experiencia comprobada en manejo avanzado de utilitarios, con énfasis en Excel avanzado y bases de datos. • Deseable experiencia de trabajo en empresas o instituciones con manejo de BIG DATA • Deseable conocimiento de construcción de indicadores de desempeño, indicadores sociales e instrumentos de levantamiento de información censal. Sede de trabajo: Ciudad de Quito Las personas interesadas deben hacer llegar sus postulaciones adjuntando la siguiente documentación: • Carta de Postulación indicando los intereses que motivan la postulación, pretensión salarial y disponibilidad. Indicar correo electrónico al que se enviará el link para ingresar Hoja de Vida. • El plazo de solicitud de link y envío de la carta de postulación es hasta el viernes 9 de febrero a hrs. 12:00 • El llenado y envío del Formato de Hoja de vida en el link podrá ser realizado hasta el domingo 11 de Febrero."
14,perfil analista de sistemas,SIMPLUSLATAM,"Guayaquil, Guayas",,3+ años de experiencia,"indefinido, jornada completa",,,"guayaquil,guayas | comercio,informática,marketing | 3+ años de experiencia | indefinido, jornada completa","Desarrollar y dar mantenimiento a los componentes del software, según las especificaciones funcionales y de diseño, tales como: componentes de librería de clases, estructuras de base de datos, programas de base de datos, reportes e interfaces de integración con otros sistemas. Pruebas unitarias de los componentes desarrollados. Documentación de los componentes desarrollados. Manejo de sistema de control de fuentes (TFS) para protección de los elementos de los componentes desarrollados."
15,analista de operaciones campo,Dichter & Neira,"Manta, Manabí",,2+ años de experiencia,"indefinido, jornada completa",,,"manufactura,ingeniería,administración | manta,manabí | indefinido, jornada completa | 2+ años de experiencia","Empresa dedicada a realizar estudios de investigación de mercados busca Analista de Operaciones para su departamento de recolección de datos en calle campo. Funciones: Seguimiento del proceso de recolección. Armar los planes diarios de trabajo operativos y sistemáticos. Requisitos: - Ing. Industrial o Lic. en Administración o Logística. - Excel avanzado dominio de tablas dinámicas, formulas, gráficos. - Conocimiento geográfico del país. - Experiencia mínima de 2 años en posiciones relacionadas a distribución y manejo de rutas."
16,administrador de base de datos- excel 100,Asistecom,"Quito, Pichincha [inc.Quito]",500 USD mes,1+ años de experiencia,"indefinido, jornada completa",,,"1+ años de experiencia | indefinido, jornada completa | quito,pichincha [inc.quito] | otro | 500 USD mes","Tiempo full time. Disponobilidad para trabajar cualquier horario. Menos la noche Sexo: Hombre o mujer Edad: 22 años hasta 34 años Estado civil: Preferible soltero/a Estudios: BACHILLER. No estudiante debido que el trabajo es FULL TIME Experiencia: 1 año mínimo de experiencia en puesto de análisis de datos tal como: analista de consola de banco. Conocimiento: Manejo del Excel al 100 Competencias: Proactivo, capacidad de análisis, orientación al Logro, preocupación por orden, calidad y precisión y orientación al servicio al cliente. Sueldo: $354 más bono de desempeño total $500 FULL TIME Puestos vacantes: 2"
17,analista de aseguramiento de la calidad qa (tester),Bupartech,"Quito, Pichincha [inc.Quito]",1 USD mes,3+ años de experiencia,"temporal, jornada completa",,,"temporal, jornada completa | 3+ años de experiencia | ingeniería | 1 USD mes | quito,pichincha [inc.quito]","Responsabilidades: Diseñar, planificar y ejecutar casos de prueba manuales y automatizados. Colaborar con el equipo de desarrollo para comprender los requisitos y especificaciones del software. Identificar y documentar defectos, seguimiento de su resolución y verificación de correcciones. Desarrollar y mantener scripts de prueba automatizados utilizando herramientas pertinentes. Realizar pruebas de rendimiento, seguridad y usabilidad según sea necesario. Colaborar en la mejora continua de procesos y estándares de calidad. Título académico: Ing. Sistemas o Telecomunicaciones o Informático o Computación o Ciencias de la Informática o ramas relacionadas a las TICs. Registrado en el Senecyt. Tiempo Mínimo de Experiencia: 2 años Número de proyectos: al menos 1 Experiencia Mínima: Deberá acreditar experiencia obligatoria acumulada en: Pruebas de software funcionales y no funcionales (carga y estrés). Elaboración de planes y casos (guiones) de prueba. Pruebas de servicios web. Uso de herramientas para la administración de base de datos: Oracle, PL/SQL. Despliegue de aplicativos en JEE. Experiencia deseable acumulada en: Pruebas de software funcionales y no funcionales (carga y estrés) en instituciones financieras. Software de control de versiones SVN. Uso de herramientas para la automatización de pruebas. Certificación vigente como Tester para la realización de pruebas de software emitida por el ISTQB: Certified Tester Foundation Level, para lo cual se deberá presentar una copia simple de la certificación obtenida. Para la experiencia obligatoria y deseable, se deberá presentar copia de un certificado laboral, contrato o acta entrega recepción parcial/definitiva de al menos un proyecto en el que haya participado como Analista de Aseguramiento de la Calidad QA, o su equivalente."
18,analista de costos,Goddard Catering Group Quito,"Quito, Pichincha [inc.Quito]",,3+ años de experiencia,"indefinido, jornada completa",,,"quito,pichincha [inc.quito] | alimentos | 3+ años de experiencia | indefinido, jornada completa","Requisitos Experiencia comprobada como analista de costos, especialista en costos o función similar De preferencia que viva en el sector de Tababela, Cumbayá, Puembo Experiencia de 3 años en análisis de datos, operacional y financiero en empresas procesadoras de alimentos Conocimiento de procesos y software contables. Fuertes habilidades analíticas Una perspicacia para los negocios Gran atención al detalle Buena aptitud comunicativa Licenciatura en Finanzas, Contabilidad o campo similar; Se prefiere Contador Público Certificado (CPA)"
19,analista marketing,PARMEG S.A,"GUAYAQUIL, Guayas",400 USD mes,1+ años de experiencia,"indefinido, jornada completa",,,"indefinido, jornada completa | 1+ años de experiencia | marketing | 400 USD mes | guayaquil,guayas","EMPRESA DE SERVICIO INTEGRAL (OBRA CIVIL, CONSTRUCCION, SEGURIDAD, ELECTRICA, DATOS, ENTRE OTROS) BUSCA CONTRATAR ING COMERCIAL, EMPRENDIMIENTO, VENTAS, MARKETING O AFINES PARA DESEMPEÑARSE COMO: - Analista de Marketing:. Es importante constar con conocimientos en: Experiencia en Telemarketing, Coordinación de campañas publicitarias, Jefe de productos y con experiencia en ventas corporativas y organización de cursos o capacitaciones - Indispensable Conocimientos para elaborar campañas de Marketing. Manejo de ventas por Tele marketing y Visitas de clientes Manejo de Redes Sociales (LinkedIn, Twitter, Youtube, Instagram, Facebook, Whatsapp Empresarial) para difusión y promoción de los servicios. Manejo de Presupuestos Comerciales Disponibilidad para hacer trabajo en dos modalidades: Oficina. PERFIL NECESARIO: Muy Buenas habilidades de comunicación Orientación al logro de objetivos, Buena presencia, Ser proactivo y empático, Capacidad de negociación. SE OFRECE: Sueldo Fijo y sueldo variable (comisión por ventas). Estabilidad Laboral Buen ambiente de trabajo Capacitación constante. Tener entre 18 - 35 años."
20,analista desarrollador,Technology Partners,"Guayaquil, Guayas",,3+ años de experiencia,"indefinido, jornada completa",,,"informática | guayaquil,guayas | indefinido, jornada completa | 3+ años de experiencia","Cobis -FrontEnd: Visual basic 6 BackEnd: -Base de datos sybase, sql server -stored procedures -sqr -Conocimiento de mòdulos cobis: Cams(tarjetas), mis, terminal administrativa (tadmin), plazo fijo, terminal financiera (cajas),contabilidad, comext, mip, administrador de banca virtual. -A nivel de BE conocer de las bases cob_cuentas, cob_ahorros, cob_atm, cobis, cob_pfijo, cob_cajas, cob_conta, cob_comext, cob_bvirtual"
