titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
QA Analyst,Jelou AI,"Guayaquil, Guayas",,,,QA,"java, python, postman, soap ui, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle"
Senior De Automatización De QA / Investigación Y,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Software QA Specialist / Research + Development,BairesDev,"Guayaquil, Guayas",,Remoto,tiempo completo,QA,"excel, restful apis, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Analista Tester QA Senior 2,Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,QA,"c#, c++, selenium, excel, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, atención al detalle, proactividad"
QA Automation Engineer,Devsu,"Guayaquil, Guayas",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior De Automatización De QA / Investigación Y,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Automation Leader / Research + Development,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"unix, linux, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
Líder De Automatización QA - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,,QA,"jira, excel, restful apis, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, creatividad, pensamiento crítico"
Gerente De QA / Investigación + Desarrollo,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"python, aws, excel, machine learning, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Analista QA,SIPECOM S.A.,"Guayaquil, Guayas",,,tiempo completo,QA,"sql, azure, jmeter, devops, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, resolución de problemas, atención al detalle, creatividad"
Analista QA,Integrity Solutions,"Guayaquil, Guayas",,,,QA,"c++, excel, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, resolución de problemas, atención al detalle, proactividad"
Ingeniero QA,LOGIC STUDIO S.A.,"Guayaquil, Guayas",,,tiempo completo,QA,"sql, excel, restful apis, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, atención al detalle, comunicación, pensamiento crítico"
QA - Wordpress Plugin Tester,WPMU DEV,"Guayaquil, Guayas",,,,QA,"java, javascript, php, html/css, sql, git, restful apis, machine learning, wordpress, testing, casos de prueba, test automation, test planning","trabajo en equipo, atención al detalle, comunicación, pensamiento crítico"
Software Tester (QA) / R + D - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,"unix, linux, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
QA Automation With Salesforce Administration,FullStack Labs,"Guayaquil, Guayas",,Remoto,,QA,"c++, git, jira, scrum, machine learning, salesforce, testing, casos de prueba, test automation, test planning","trabajo en equipo, atención al detalle, inglés avanzado"
Especialista En QA De Software / Investigación +,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Automation Architect - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,"java, python, c++, excel, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Desarrollador De Automatización De QA,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba, test automation, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Trabajo Desde Casa Analista De QA Senior Investigación Y Desarrollo Ref. 0027S RD,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Work From Home Junior QA Automation Research Development Ref. 0166E RD,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,"java, python, c++, jira, excel, restful apis, scrum, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Pasante De QA,Conauto C.A.,"Guayaquil, Guayas",,,tiempo completo,QA,"pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, atención al detalle, comunicación, pensamiento crítico"
Analista QA Junior,SIPECOM S.A.,"Guayaquil, Guayas",,,tiempo completo,QA,"sql, postman, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, atención al detalle, creatividad"
Work From Home Junior QA Automation Research Development Ref. 0166E RD,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,"java, python, c++, jira, excel, restful apis, scrum, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
Trabajo Desde Casa Analista De QA Senior Investigación Y Desarrollo Ref. 0027S RD,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Ingeniero De Procesos QA,Operadora y Procesadora Prod. Marinos OMARSA S.A.,Guayas,,,tiempo completo,QA,"c#, jira, scrum, devops, dynamics 365, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas"
QA Automation Engineer,Devsu,"Guayaquil, Guayas",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
QA Analyst,Jelou AI,"Guayaquil, Guayas",,,tiempo completo,QA,"java, python, postman, soap ui, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle"
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Guayaquil, Guayas",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior Manual QA 3-6 Months - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",,Remoto,,QA,"javascript, c#, c++, sql, kotlin, azure, scrum, ci/cd, redis, machine learning, nuxt.js, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Analista De Procesos QA,OMARSA S.A.,"Eloy Alfaro, Guayas",,,tiempo completo,QA,"c#, jira, scrum, devops, dynamics 365, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas, atención al detalle"
Analista De Procesos QA,OMARSA S.A.,"Eloy Alfaro, Guayas",,,tiempo completo,QA,"c#, jira, scrum, devops, dynamics 365, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, resolución de problemas, atención al detalle"
Senior Manual QA 3-6 Months - Remote - Latin America,FullStack Labs,"Anywhere, El Oro",,Remoto,tiempo completo,QA,"javascript, c#, c++, sql, kotlin, azure, scrum, ci/cd, redis, machine learning, nuxt.js, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
QA Automation Senior Work,BairesDev,"Machala, El Oro",,Remoto,tiempo completo,QA,"sql, excel, microservicios, scrum, ci/cd, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo"
Campaign Performance And QA Analyst,Launch Potato,"Cuenca, Azuay",,Remoto,,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Digital Media QA Specialist,Launch Potato,"Cuenca, Azuay",,Remoto,tiempo completo,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Tracking And QA Analyst,Launch Potato,"Cuenca, Azuay",,Remoto,tiempo completo,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Marketing Operations QA Specialist,Launch Potato,"Cuenca, Azuay",,Remoto,tiempo completo,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Cuenca, Azuay",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior De Automatización De QA / Investigación Y,BairesDev,"Cuenca, Azuay",,,tiempo completo,QA,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Probador De Software (QA) / Investigación Y,BairesDev,"Cuenca, Azuay",,,tiempo completo,QA,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Automation Engineer,FullStack Labs,"Cuenca, Azuay",,Remoto,tiempo completo,QA,"javascript, c++, scrum, ci/cd, machine learning, playwright, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
QA Automation Engineer,Devsu,"Cuenca, Azuay",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Trabajo Desde Casa Tester De Software QA I D Ref. 0027S RD,BairesDev,"Cuenca, Azuay",,,,QA,"machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Senior QA Automation Engineer Latam,BairesDev,"Cuenca, Azuay",,Remoto,tiempo completo,QA,"java, python, c++, excel, restful apis, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
QA Analyst Senior - Remote Work,BairesDev,"Anywhere, Azuay",,Remoto,,QA,"sql, excel, microservicios, scrum, ci/cd, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Trabajo Desde Casa Tester De Software QA I D Ref. 0027S RD,BairesDev,"Cuenca, Azuay",,,tiempo completo,QA,"machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Manual QA Engineer,FullStack Labs,"Manta, Manabí",,Remoto,tiempo completo,QA,"javascript, c++, scrum, ci/cd, machine learning, playwright, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
QA Automation Engineer,Devsu,"Ambato, Provincia Tungurahua",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Ambato, Provincia Tungurahua",,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior QA Automation Engineer Latam,BairesDev,"Latacunga, Cotopaxi",,Remoto,tiempo completo,QA,"java, python, c++, excel, restful apis, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
QA Automation Engineer - Sector Financiero/Bancario,Devsu,Santo Domingo de los Tsáchilas,,,tiempo completo,QA,"c++, sql, git, cypress, appium, scrum, ci/cd, karate, serenity, k6, testcafe, protractor, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
Senior Manual QA 3-6 Months - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,QA,"javascript, c#, c++, sql, kotlin, azure, scrum, ci/cd, redis, machine learning, nuxt.js, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
Senior QA Automation Engineer,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,QA,"java, python, c++, excel, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Probador De Software (QA) / Investigación Y,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,tiempo completo,QA,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Analyst Senior - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,QA,"sql, excel, microservicios, scrum, ci/cd, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Probador De Software (QA) / Investigación Y,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,tiempo completo,QA,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Senior De Automatización De QA / Investigación Y,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,,QA,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Analista Desarrollador Senior De QA - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,QA,"sql, excel, microservicios, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, gestión del tiempo, creatividad, inglés avanzado"
Senior De Automatización De QA / Investigación Y,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",,,,QA,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Automation Senior - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,Remoto,tiempo completo,QA,"sql, excel, microservicios, scrum, ci/cd, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo"
Líder De Automatización QA - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,,tiempo completo,QA,"jira, excel, restful apis, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, creatividad, pensamiento crítico"
Líder QA,Neoris,"Quito, Pichincha",,,tiempo completo,QA,"java, javascript, aws, azure, git, jira, cypress, appium, jmeter, excel, scrum, ci/cd, devops, serenity, k6, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo, creatividad, pensamiento crítico"
Analista QA,Periferia IT Group,"Quito, Pichincha",,Presencial,,QA,"azure, scrum, devops, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
QA Data Engineer,Neoris,"Quito, Pichincha",,,tiempo completo,QA,"python, sql, git, scrum, pruebas manuales, pruebas automatizadas, casos de prueba","aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
QA Automatizador New,Neoris,"Quito, Pichincha",,,tiempo completo,QA,"sql, aws, jenkins, git, excel, restful apis, scrum, ci/cd, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, resolución de problemas, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
QA Engineer,Perform,"Quito, Pichincha",,,tiempo completo,QA,"java, sql, selenium, jmeter, excel, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, proactividad"
Campaign Performance And QA Analyst,Launch Potato,"Quito, Pichincha",,Remoto,tiempo completo,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Marketing Operations QA Specialist,Launch Potato,"Quito, Pichincha",,Remoto,,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Digital Media QA Specialist,Launch Potato,"Quito, Pichincha",,Remoto,tiempo completo,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
Tracking And QA Analyst,Launch Potato,"Quito, Pichincha",,Remoto,tiempo completo,QA,"c++, git, excel, power bi, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, orientación a resultados, atención al detalle, proactividad, inglés avanzado, multitarea"
QA Engineer (SDET),Perform,"Quito, Pichincha",,,tiempo completo,QA,"java, sql, selenium, jmeter, excel, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, proactividad"
QA Engineer ECU,Sofka Technologies,"Quito, Pichincha",,,tiempo completo,QA,"sql, azure, git, jira, appium, jmeter, scrum, ci/cd, devops, karate, serenity, k6, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo"
Especialista En Calidad De Datos (QA Data Quality),Neoris,"Quito, Pichincha",,,tiempo completo,QA,"python, sql, git, excel, scrum, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo, creatividad"
Líder QA Sector Financiero,Neoris,"Quito, Pichincha",,,,QA,"java, javascript, aws, azure, git, jira, cypress, appium, jmeter, excel, scrum, ci/cd, devops, serenity, k6, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo, creatividad, pensamiento crítico"
Senior Manual QA 3-6 Months - Remote - Latin America,FullStack Labs,"Anywhere, Pichincha",,Remoto,tiempo completo,QA,"javascript, c#, c++, sql, kotlin, azure, scrum, ci/cd, redis, machine learning, nuxt.js, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, orientación a resultados, atención al detalle, inglés avanzado"
QA Automatizador ECU,Sofka Technologies,"Quito, Pichincha",,,tiempo completo,QA,"java, javascript, python, sql, azure, git, jira, cypress, appium, jmeter, excel, restful apis, scrum, ci/cd, redis, karate, serenity, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo"
QA Automation Senior,Sofka Technologies,"Quito, Pichincha",,,tiempo completo,QA,"sql, azure, git, jira, appium, jmeter, excel, scrum, ci/cd, devops, machine learning, karate, serenity, k6, pruebas manuales, pruebas automatizadas, casos de prueba, test automation, test planning","trabajo en equipo, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
QA Automatizador Senior - Remoto Global (Cédula Ecuatoriana),Sofka Technologies,"Anywhere, Pichincha",,,tiempo completo,QA,"java, javascript, python, sql, azure, git, jira, cypress, appium, jmeter, excel, restful apis, scrum, ci/cd, redis, machine learning, karate, serenity, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, mentoría"
QA Automatizador Semi Senior - Con Cédula Ecuatoriana,Sofka Technologies,"Quito, Pichincha",,,tiempo completo,QA,"java, javascript, python, sql, azure, git, jira, cypress, appium, jmeter, excel, restful apis, scrum, ci/cd, redis, machine learning, karate, serenity, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, mentoría"
"QA Semisenior Híbrido En Uruguay, Colombia Y Ecuador",Sofka Technologies,"Quito, Pichincha",,Híbrido,,QA,"java, python, sql, cypress, scrum, ci/cd, machine learning, karate, serenity, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, pensamiento crítico, mentoría"
Senior QA Automation Engineer ‍ To Work With A..,Prometeo Talent,"Quito, Pichincha",,Remoto,tiempo completo,QA,"java, javascript, python, c++, cypress, appium, restful apis, machine learning, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo"
