titulo,empresa,ubicacion,modalidad,descripcion,Area
Scrum Master / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Scrum Master en BairesDevBuscamos un Scrum Master para sumarse al equipo de Investigación y Desarrollo de BairesDev (I + D).Nuestro equipo de I + D es parte esencial de nuestras soluciones tecnológicas que generan millones en ingresos cada año, por lo que sólo contratamos a los mejores de los mejores.Dentro del equipo, encontrarás muchos desafíos: Análisis de datos, Aprendizaje Automático, Desarrollos de escritorio y web son algunos de los más relevantes en este momento, pero para impulsar la innovación, ¡notarás que surgen cosas nuevas todos los días!El área de I + D es sin duda el área más interesante y desafiante de toda la empresa, y aunque BairesDev está conformada por personas realmente talentosas, aquí encontrarás profesionales con amplia experiência y también nível intelectual y creativo, muy por encima de la media.Queremos que disfrutes de esta aventura, ¿estás listo?Principales responsabilidades:- Asistir al equipo en la preparación de ART y Solution Train utilizando varias herramientas, como los progra,as y soluciones de Kanbans y otros elementos de información.- Capacitar a los equipos en metodologías y enfoques Lean-Agile.- Aportar información sobre la provisión de recursos para abordar los cuellos de botella críticos.- Fomentar la colaboración entre los equipos y los sistemas y soluciones de arquitectura/ingeniería.- Trabajar en conjunto con la Gerencia de Productos y Soluciones, Product Owners y todas las partes interesadas para apoyar en el aseguramiento de la alineación de la estrategia y ejecución.- Mejorar el flujo de valor a través de los flujos de valor utilizando Continuous.- Entregar Pipeline y DevOps.- Facilitar los demos del sistema y de la solución.¿Qué Buscamos?- 4+ años de experiência en posiciones similares.- Uso de metodologías Ágiles.- Excelentes habilidades de comunicación.- Cerrtificaciones acorde al perfil.- Nível de inglés avanzado.¿Cómo haremos la vida y el trabajo más fácil?- Trabajo 100% remoto.- Configuración de hardware para trabajar desde casa.- Horario flexible.- Licencias por paternidad y maternidad, vacaciones y feriados pagados.- Ambiente laboral diversificado y multicultural.- Un entorno innovador con la estructura y los recursos de una multinacional líder.- Excelente remuneración - por encima de la media del mercado y tus expectativas.- Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",Desarrollador de Software
Senior React Engineer Work,BairesDev,"Santo Domingo de los Tsachilas, Santo Domingo de los Tsáchilas",Remoto,"Who We areBairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.We are looking for React Senior Developers to work from home and join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry!Main Activities:- Design practical solutions to solve problems.- Participate in code reviews, testing.- Provide the technology for a platform that facilitates monthly requests.- Work with big data and predictive analytics on a distributed system.- Collaborate with the developing team, product owners, client services, to innovate and get the tasks done.What we are looking for:- 5+ years of experience in Front End development with strong skills in Javascript, CSS3 and HTML5.- Experience with other Javascript Frameworks such as Angular, Backbone, Marionette.- Experience using ES2015 (ES6 / ES7).- Experience with command lines, APIs, and client-side performance.- Familiar with the concepts of basic programming, JavaScript and data structures, types of variables and idiosyncrasies.- Advanced English level.How we do make your work (and your life) easier:- 100% remote work.- Hardware setup for you to work from home.- Flexible hours - make your schedule.- Paid parental leave, vacation & holidays.- Diverse and multicultural work environment.- An innovative environment with the structure and resources of a leading multinational.- Excellent compensation — well above the market average.- Here you can grow at the speed of your learning curve.If you are interested in being part of a team composed of the best professionals and working 100% goal-oriented in an innovative environment, but with the structure and resources of a multinational market leader, do not hesitate to apply!",Desarrollador de Software
Especialista De Analisis De Datos Con Programación,Talenter Ecuador,"Guayaquil, Guayas",,"Estamos buscando un Analista de Datos con Programación ¿Te apasionan los datos, la lógica y transformar información en decisiones estratégicas? Buscamos un Analista de Datos con sólidos conocimientos en lenguaje de programación para unirse a nuestro equipo y potenciar la toma de decisiones basada en datos. Responsabilidades principales Analizar, depurar y estructurar grandes volúmenes de información. Desarrollar scripts o automatizaciones en Python, R o SQL para el procesamiento y modelado de datos. Diseñar reportes y dashboards interactivos que faciliten la interpretación de resultados. Implementar modelos predictivos o algoritmos estadísticos según las necesidades del negocio. Colaborar con áreas de negocio y tecnología para garantizar la calidad y trazabilidad de los datos. Requisitos Formación en Ingeniería, Estadística, Matemática, Economía o carreras afines. Dominio de lenguajes de programación (Python, MySQL, Django, SQL) . Conocimientos en herramientas de visualización ( Power BI, Tableau, Looker o similares ). Deseable experiencia en bases de datos relacionales y no relacionales. Pensamiento analítico, atención al detalle y orientación a resultados. Ofrecemos Trabajo presencial (la oficina se encuentra ubicada vía a la costa Oportunidad de crecimiento en proyectos de alto impacto.",Desarrollador de Software
Scrum Master - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Nuestros Ingenieros de Scrum Master son desarrolladores seniors sumamente comprometidos con la calidad. Permiten la creación diaria de código altamente optimizado y listo para la para la producción. No necesitan que se les convenza de la importancia de la documentación o del trabajo en equipo, dado que los consideran los pilares de su trabajo. Son miembros apasionados y activos de nuestra comunidad que disfrutan compartiendo conocimientos, desafiando y siendo desafiados por otros desarrolladores y están realmente comprometidos con la mejora de sí mismos y de los que les rodean.Actividades Principales:- Asistir al equipo en la preparación de ART y Solution Train utilizando varias herramientas, como los progra,as y soluciones de Kanbans y otros elementos de información- Capacitar a los equipos en metodologías y enfoques Lean-Agile.- Aportar información sobre la provisión de recursos para abordar los cuellos de botella críticos.- Fomentar la colaboración entre los equipos y los sistemas y soluciones de arquitectura/ingeniería.- Trabajar en conjunto con la Gerencia de Productos y Soluciones, Product Owners y todas las partes interesadas para apoyar en el aseguramiento de la alineación de la estrategia y ejecución.- Mejorar el flujo de valor a través de los flujos de valor utilizando Continuous.- Entregar Pipeline y DevOps.- Facilitar los demos del sistema y de la solución.¿Qué Buscamos?:- Sólida experiência en posiciones similares.- Uso de metodologías Ágiles.- Excelentes habilidades de comunicación.- Cerrtificaciones acorde al perfil.- Nível de inglés avanzado.¿Cómo haremos la vida y el trabajo más fácil?- Trabajo 100% remoto.- Configuración de hardware para trabajar desde casa.- Horario flexible.- Licencias por paternidad y maternidad, vacaciones y feriados pagados.- Ambiente laboral diversificado y multicultural.- Un entorno innovador con la estructura y los recursos de una multinacional líder.- Excelente remuneración - por encima de la media del mercado y tus expectativas.- Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",Desarrollador de Software
Aws Cloudformation Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Santo Domingo de los Tsáchilas",Remoto,"FullStack is the fastest-growing software consultancy in the Americas. We help organizations like Uber, GoDaddy, MGM, Siemens, and Stanford University build distributed software development teams, and deliver transformational digital solutions. As an employee-first company, we focus on hiring the most talented software designers and developers in the western hemisphere, by creating a positive, respectful, and supportive work environment where they can achieve their greatest potential.We’re most proud of:- Offering life-changing career opportunities to talented software professionals across the Americas.- Building highly-skilled software development teams for hundreds of the world’s greatest companies.- Having delivered hundreds of successful custom software solutions, which have positively impacted the lives and careers of millions of users.- Our 4.5-star rating on GlassDoor.- Our client Net Promoter Score of 68, twice the industry average.**The Position**:We're looking to hire an AWS CloudFormation Engineer to join our team and contribute to the development and maintenance of our evolving technology infrastructure. You'll work with our incredible clients in one of two ways:- _ Team Augmentation:_ You will integrate yourself directly into our client's team and work alongside their existing designers and engineers on a daily basis.- _ Design & Build:_ You will work on a FullStack product team to build and deliver a product to our clients.**What we are looking for**:- 5+ years of experience as an AWS CloudFormation Engineer or similar role in a fast-paced environment.- Advanced English is required.- A four-year college degree is required.- Meaningful experience in cloud technologies (e.g., AWS, Azure, etc.) with hands-on experience in designing, deploying, and managing cloud-based infrastructure.- Meaningful experience working with infrastructure as code (IaC) tools like Terraform, Ansible, or CloudFormation.- Meaningful experience in containerization technologies such as Docker and orchestration tools like Kubernetes and Rancher.- Solid understanding of networking concepts and protocols.- Ability to work collaboratively in a team environment and excellent communication skills.- Strong problem-solving and analytical skills.- Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon.- Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them.- Ability to consistently work 40 hours per week.**Benefits**:- Competitive pay in your local currency.- 100% remote work.- The ability to work with leading startups and Fortune 500 companies.- English Classes.- Virtual company events each month.- Ample opportunity for career advancement.- Continuing education opportunities.- Depending on your location other benefits may apply.FullStack is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form, which can be provided upon request during our hiring and interview process.Learn more about our Applicants Privacy Notice.",Desarrollador de Software
AWS/Kubernetes Devops Engineer - Remote - Latin America,FullStack Labs,"Anywhere, Guayas",Remoto,"About FullStack FullStack is the most transparent IT talent network, connecting highly skilled individuals with top global companies and Silicon Valley startups for remote, on-demand projects. We focus on building a trusted, high-performance network where talent can thrive in a positive, respectful, and supportive environment. By prioritizing transparency, fair opportunities, and professional growth, we empower our engineers to deliver their best work while collaborating with innovative teams worldwide. We’re Most Proud Of Offering life-changing opportunities for talented software professionals across the Americas. Enhancing highly-skilled software development teams of hundreds of the world’s greatest companies. Our 4.2-star rating on GlassDoor. Our client Net Promoter Score of 68, twice the industry average. The Opportunity Join our talent network and connect with U.S. clients for flexible, project-based development work as an AWS/Kubernetes DevOps Engineer. You will integrate directly into our client's team and work alongside their existing designers and engineers on a daily basis. What We're Looking For 5+ years of professional experience as a DevOps Engineer. Advanced English is required. Successful completion of a four-year college degree is required. Strong experience working with Linux systems and related tooling (kernel, shell, system libraries, file systems, client-server protocols). Experience with Linux container technologies (Docker, Kubernetes). Experience with public and private clouds: GCP or AWS ( preferable). Understanding of cloud orchestration frameworks (terraform, Kubernetes, etc) and their role in IT transformation. The ability to write code fluently in Python or Bash. Deep understanding of software development lifecycle including git-based CI/CD pipelines. Networking: experience with network theory and protocols, e.g. TCP/IP, UDP, DNS, HTTP, TLS, and load balancing. Familiarity with distributed message buses such as Kafka, Confluent. Ability to work through new and difficult issues and contribute to libraries as needed. Ability to create and maintain continuous integration and delivery of applications. Forensic attention to detail. A positive mindset and a can-do attitude. Experience working on Agile / Scrum teams. Meaningful experience working on large, complex systems. Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon. Ability to identify with the goals of FullStack's clients, and dedicate yourself to delivering on the commitments you and your team make to them. Ability to consistently work 40 hours per week. What We Offer Competitive pay. 100% remote work. The ability to work with leading startups and Fortune 500 companies. Continuing education opportunities Opportunity to grow and expand your career Our talent network is committed to fostering a diverse, inclusive, and accessible environment where IT professionals can find opportunities that match their skills. We welcome individuals of all races, religions, genders, sexual orientations, national origins, abilities, and experiences. Our focus is on connecting talent with projects based on qualifications, ensuring a fair and transparent process that values diverse perspectives and global collaboration. Learn more about our Applicants Privacy Notice. The Opportunity Join our talent network and connect with U.S. clients for flexible, project-based development work as a [insert position/role]. You will integrate directly into our client's team and work alongside their existing designers and engineers on a daily basis.",Desarrollador de Software
Ingeniero De Datos - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Ingeniero de Datos en BairesDevEstamos buscando un Ingeniero de Datos para unirse a nuestro equipo de Desarrollo y participar en diferentes proyectos formados por equipos multiculturales distribuidos por todo el mundo.Actividades Principales:- Entrevistar a otros Data Scientists e Ingenieros de Datos para evaluar sus habilidades técnicas.- Introducir los datos de esas entrevistas en el producto y ayudar a desarrollar una solución predictiva, justa y agradable.- Trabajar junto con desarrolladores, líderes tecnológicos y arquitectos de soluciones para crear aplicaciones.- Mejore las estructuras existentes, añadiendo nuevas funcionalidades o proponiendo actualizaciones tecnológicas para que, como resultado, el impacto de su contribución sea significativo en el núcleo de cada negocio.- Mejorar la experiência de usuario sobre plataformas escalables y de alta disponibilidad, contribuyendo al diferencial clave de cada negocio.¿Qué Buscamos?:- 5+ años de experiência trabajando como desarrollador.- 3+ años de experiência trabajando como Data Scientist / Data Engineer.- Competente en análisis, resolución de problemas y resolución de problemas.- Experiência práctica en la gestión de cargas de datos y calidad de datos.- Nível avanzado de inglés.¿Cómo haremos la vida y el trabajo más fácil?- Trabajo 100% remoto.- Configuración de hardware para trabajar desde casa.- Horario flexible.- Licencias por paternidad y maternidad, vacaciones y feriados pagados.- Ambiente laboral diversificado y multicultural.- Un entorno innovador con la estructura y los recursos de una multinacional líder.- Excelente remuneración - por encima de la media del mercado y tus expectativas.- Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",Desarrollador de Software
Senior Site Reliability Engineer Latam - Remote Work,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",Remoto,"Who We areBairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects.We are looking for a Site Reliability Engineer to build and maintain highly reliable, scalable, and secure OpenShift/Kubernetes clusters. We will need you to approach the problem of building and maintaining production systems from a software engineering perspective with a focus on automation, and reliability. What You’ll Do:- Build and automate and maintain OpenShift/Kubernetes clusters.- Create and enhance tools to make operational workflows more automated.- Monitor, respond to, and resolve Cluster and infrastructure service issues.- Handle infrastructure and services on prem and in AWS.- Diagnose and resolve problems in OpenShift and/or Kubernetes clusters.- Implement metrics to measure service performance and health.You must have:- 5+ years of experience as a Site Reliability Engineer.- Deep experience with Linux Administration.- Automation experience with Python, Bash, Salt, or equivalent.- Knowledge installing, managing, maintaining, and troubleshooting OpenShift/Kubernetes clusters.- Advanced English level.How we do make your work (and your life) easier:- 100% remote work.- Hardware setup for you to work from home.- Flexible hours - make your schedule.- Paid parental leave, vacation & holidays.- Diverse and multicultural work environment.- An innovative environment with the structure and resources of a leading multinational.- Excellent compensation — well above the market average.- Here you can grow at the speed of your learning curve.Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment.Every BairesDev team member brings something unique to our company.",Desarrollador de Software
Gerente De Soluciones / I+D - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Gerente de Soluciones en BairesDevBuscamos un Gerente de Soluciones para sumarse al equipo de Investigación y Desarrollo de BairesDev (I + D).Nuestro equipo de I + D es parte esencial de nuestras soluciones tecnológicas que generan millones en ingresos cada año, por lo que sólo contratamos a los mejores de los mejores.Dentro del equipo, encontrarás muchos desafíos: Análisis de datos, Aprendizaje Automático, Desarrollos de escritorio y web son algunos de los más relevantes en este momento, pero para impulsar la innovación, ¡notarás que surgen cosas nuevas todos los días!El área de I + D es sin duda el área más interesante y desafiante de toda la empresa, y aunque BairesDev está conformada por personas realmente talentosas, aquí encontrarás profesionales con amplia experiência y también nível intelectual y creativo, muy por encima de la media.Queremos que disfrutes de esta aventura, ¿estás listo? Principales responsabilidades:- Estar a cargo del Capital Humano para el Proyecto: contratación, retención y desvinculación. Planes de compensación, motivación, etc.- Ayudar en la definición y monitoreo de métricas y KPI para los equipos.- Asegurarse de que la coordinación del equipo y el proceso de desarrollo se ejecuten correctamente.- Dirigir todas las ceremonias de Scrum y su cumplimiento.- Fomentar una cultura de ingeniería colaborativa de acuerdo con los valores de la empresa.¿Qué Buscamos?- 5+ años de experiência en roles relacionados con Desarrollo Software.- 3+ años de experiência como Project Manager o similar.- Fuertes habilidades de gestión de proyectos.- Excelentes habilidades de comunicación.- Nível de inglés avanzado.¿Cómo haremos la vida y el trabajo más fácil?- Trabajo 100% remoto.- Configuración de hardware para trabajar desde casa.- Horario flexible.- Licencias por paternidad y maternidad, vacaciones y feriados pagados.- Ambiente laboral diversificado y multicultural.- Un entorno innovador con la estructura y los recursos de una multinacional líder.- Excelente remuneración - por encima de la media del mercado y tus expectativas.- Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",Desarrollador de Software
PASANTE DE SISTEMAS,DP World,"Guayaquil, Guayas",,"Job Description Estudiante de últimos semestres de Telemática, Telecomunicaciones e informática Disponibilidad para pasantías de 6 horas diarias, de lunes a viernes. Disponibilidad para realizar pasantías en Guayaquil y Posorja. Responsibilities Seguimiento y atención de tickets de JIRA para casos de soporte a usuarios finales oficinas de Posorja, Sky Building , Arcos Plaza y próximas oficinas de Midtown. Soporte primer nivel en mantenimiento configuración y soporte de la infraestructura tecnológica de la terminal en dispositivos varios (tablets, Vm3, hanheld , impresoras, radios, celulares). Instalar las aplicaciones básicas tales como: Windows, office, antivirus, navegadores, aplicaciones del negocio como DPW On line, NAVIS N4, XPS etc, según las necesidades de la posición. About Us DP World es el proveedor líder mundial de logística inteligente, lo que permite el flujo comercial en todo el mundo. Nuestra amplia gama de productos y servicios cubre todos los eslabones de la cadena de suministro integrada, desde terminales marítimas y terrestres hasta servicios marinos y parques industriales, así como soluciones para clientes impulsadas por la tecnología. Operamos en una red global interconectada de 295 unidades de negocios 78 países de seis continentes y cuenta con 97,500 colaboradores. En Ecuador DP World ha creado infraestructuras y servicios de clase mundial brindando al comercio exterior un ecosistema logístico integrado conformado por distintas unidades de negocio que abarcan: El Puerto Guayaquileño de DP World en Posorja, Centro Logístico en Durán, Depósito de Contenedores, servicios logísticos y proyectos en desarrollo como Parque Logístico & Industrial ZEDE Posorja. Pensamos en el futuro, anticipamos el cambio e implementamos tecnología líder en la industria para crear las soluciones comerciales más inteligentes, eficientes e innovadoras, al tiempo que garantizamos un impacto positivo y sostenible en las economías, las sociedades y nuestro planeta. About The Team Somos el proveedor líder de soluciones logísticas inteligentes, lo que permite el flujo comercial en todo el mundo. Nuestra amplia gama de productos y servicios cubre todos los eslabones de la cadena de suministro integrada, desde terminales marítimas y terrestres hasta servicios marítimos y parques industriales, así como soluciones para clientes impulsadas por la tecnología. Brindamos estos servicios a través de una red global interconectada de 127 unidades de negocios en 51 países en seis continentes, con una presencia significativa tanto en mercados maduros como de alto crecimiento. Dondequiera que operemos, integramos la sostenibilidad y la ciudadanía corporativa responsable en nuestras actividades, esforzándonos por una contribución positiva a las economías y comunidades en las que vivimos y trabajamos. Nuestro equipo dedicado, diverso y profesional de más de 56,000 empleados de 54 países está comprometido a brindar un valor inigualable a nuestros clientes y socios. Hacemos esto enfocándonos en relaciones mutuamente beneficiosas - con gobiernos, transportistas, comerciantes y otras partes interesadas a lo largo de la cadena de suministro global - relaciones construidas sobre una base de confianza mutua y asociación duradera. Pensamos en el futuro, anticipamos el cambio e implementamos tecnología líder en la industria para crear las soluciones comerciales más inteligentes, eficientes e innovadoras, al tiempo que garantizamos un impacto positivo y sostenible en las economías, las sociedades y nuestro planeta.",Desarrollador de Software
Asistente De Selección,RP3 Retail Software,Guayas,,"Estamos buscando un perfil de Asistente de Selección para una importante Consultora Formación Académica: Graduados en carreras como: Psicología Organizacional, Ingeniería en Recursos Humanos y similares. Funciones principales requeridas para el cargo: Redactar y publicar ofertas laborales en portales de empleo, redes sociales y plataformas internas. Filtrar currículums según el perfil requerido. Realizar convocatorias a entrevistas (telefónicas, virtuales o presenciales). Agendar entrevistas con el equipo de reclutamiento o jefes de área. Dar seguimiento a los candidatos en las distintas etapas del proceso. Mantener actualizada la base de datos de postulantes. Interesados enviar su hoja de vida.",Desarrollador de Software
Representante De Éxito Del Cliente - Trabajo Remoto,BairesDev,"Anywhere, Santo Domingo de los Tsáchilas",,"BairesDev se enorgullece de ser una de las empresas con más rápido crecimiento de América Latina y un empleador acogedor altamente calificado (puntaje de empleado de Glassdoor: 4.3). Con más de 3500 empleadosen 27 países y clientes de clase mundial, desde nuevas empresas hasta compañías Fortune 500, somos tan fuertes como los equipos multiculturales en el corazón de nuestro negocio. BairesDev funciona con talento. Para ofrecer constantemente soluciones de la más alta calidad a nuestros clientes, solo contratamos al 1% de los mejores talentos de TI y fomentamos su crecimiento profesional en proyectos emocionantes para empresas como Google, Pinterest y Udemy.Sobre la posición:Buscamos Representante de Éxito del Cliente para unirse a nuestro Equipo de Reclutamiento y participar en diferentes proyectos conformados por equipos multiculturales distribuidos por todo el mundo. Esta persona debe ser proactiva, orientada a los detalles y demostrar excelentes habilidades analíticas, así como trabajo en equipo y habilidades para realizar múltiples tareas. ¡Esta es una excelente oportunidad para aquellos profesionales que buscan desarrollarse en una de las empresas de más rápido crecimiento en la industria!¿Qué Buscamos?- 1+ año de experiência laboral.- Conocimiento del mercado de IT.- Excelentes habilidades de comunicación.- Gran capacidad de autogestión.- Estudios en Recursos Humanos, psicología o carreras afines.- Nível avanzado de inglés.¿Qué Ofrecemos?- Trabajo 100% remoto.- Horarios flexibles: ¡haga su propio horario!- Entorno laboral diverso y multicultural.- Licencia parental remunerada, vacaciones y feriados.- Configuración de hardware para trabajar desde casa.- Excelente compensación, muy por encima de la media del mercado.- Amplias oportunidades de crecimiento y desarrollo profesional gracias a nuestro sistema de mentoría.Si está interesado en formar parte de un equipo compuesto por los mejores profesionales y trabajar 100% orientado a objetivos en un entorno innovador, pero con la estructura y los recursos de un líder de mercado multinacional, ¡no dude en postularse!",Desarrollador de Software
CONDUCTOR DE ITV,DP World,"Guayaquil, Guayas",,"Job Description Licencia tipo E Bachiller Técnico Conocimientos técnicos de manejo de vehículos pesados Conocimientos técnicos de mantenimiento de maquinarias Mínimo 1 año de experiencia en posiciones similares Disponibilidad para horarios rotativos Disponibilidad para trabajar en Posorja. Responsibilities Conducir los vehículos de transferencia interna (ITV) dentro de la terminal Conducir el vehículo interno de la empresa para el traslado de los usuarios hacia la plaza de transporte Realizar la cantidad de movimientos/hora de acuerdo con las metas establecidas Cumplir con los procedimientos, instructivos operativos establecidos por la terminal. About Us DP World es el proveedor líder mundial de logística inteligente, lo que permite el flujo comercial en todo el mundo. Nuestra amplia gama de productos y servicios cubre todos los eslabones de la cadena de suministro integrada, desde terminales marítimas y terrestres hasta servicios marinos y parques industriales, así como soluciones para clientes impulsadas por la tecnología. Operamos en una red global interconectada de 295 unidades de negocios 78 países de seis continentes y cuenta con 97,500 colaboradores. En Ecuador DP World ha creado infraestructuras y servicios de clase mundial brindando al comercio exterior un ecosistema logístico integrado conformado por distintas unidades de negocio que abarcan: El Puerto Guayaquileño de DP World en Posorja, Centro Logístico en Durán, Depósito de Contenedores, servicios logísticos y proyectos en desarrollo como Parque Logístico & Industrial ZEDE Posorja. Pensamos en el futuro, anticipamos el cambio e implementamos tecnología líder en la industria para crear las soluciones comerciales más inteligentes, eficientes e innovadoras, al tiempo que garantizamos un impacto positivo y sostenible en las economías, las sociedades y nuestro planeta. About The Team Somos el proveedor líder de soluciones logísticas inteligentes, lo que permite el flujo comercial en todo el mundo. Nuestra amplia gama de productos y servicios cubre todos los eslabones de la cadena de suministro integrada, desde terminales marítimas y terrestres hasta servicios marítimos y parques industriales, así como soluciones para clientes impulsadas por la tecnología. Brindamos estos servicios a través de una red global interconectada de 127 unidades de negocios en 51 países en seis continentes, con una presencia significativa tanto en mercados maduros como de alto crecimiento. Dondequiera que operemos, integramos la sostenibilidad y la ciudadanía corporativa responsable en nuestras actividades, esforzándonos por una contribución positiva a las economías y comunidades en las que vivimos y trabajamos. Nuestro equipo dedicado, diverso y profesional de más de 56,000 empleados de 54 países está comprometido a brindar un valor inigualable a nuestros clientes y socios. Hacemos esto enfocándonos en relaciones mutuamente beneficiosas - con gobiernos, transportistas, comerciantes y otras partes interesadas a lo largo de la cadena de suministro global - relaciones construidas sobre una base de confianza mutua y asociación duradera. Pensamos en el futuro, anticipamos el cambio e implementamos tecnología líder en la industria para crear las soluciones comerciales más inteligentes, eficientes e innovadoras, al tiempo que garantizamos un impacto positivo y sostenible en las economías, las sociedades y nuestro planeta.",Desarrollador de Software
Profesionales En Energías Renovables (Remoto),CAAP - CENTRO DE AYUDA ACADÉMICA PROFESIONAL,"Anywhere, Guayas",,"**Profesionales en ENERGÍAS RENOVABLES para desarrollo de trabajos de investigación académica, relacionados en su especialidad****Requisitos**:- Título de tercer nível en el área.- Sólidos conocimientos en idiomas (Español - Cualquier otro idioma)- Autocapacitación permanente.- Capacidad de redacción y buena ortografía (para desarrollo de trabajos en área de conocimiento).De preferencia: conocimiento en Normas Apa 6ta Edición, 7ma Edición y Metodología de la Investigación **(No limitante puede postular para desarrollos prácticos)****Competencias**:- Responsabilidad y confiabilidad- Orientación al logro- Planificación y organización**Ofrecemos**:- Obtener nuevos conocimientos.- Honorarios de $10 a $600 (Según resultados)- Horarios flexibles (Completo - Medio tiempo)Envíanos tu CV con el asunto: Asesor Académico en ENERGÍAS RENOVABLES.Ven y forma parte de nuestro equipo CAAP (Centro de Ayuda Académica Profesional) Ecuador.Si cumples con los requisitos envíanos tu Hoja de Vida al correo:Con el asunto: ASESOR Y REDACTOR ACADÉMICO EN ESCRIBIR LA ESPECIALIDAD REQUERIDA)Tipo de puesto: Tiempo completo, Medio tiempo, TemporalSueldo: $10,00 - $600,00 al mes",Desarrollador de Software
