titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
desarrolladores de software,Software Solutions,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Desarrollador de Software,"java, javascript, php, c#, html/css, sql, react, aws, restful apis, scrum","trabajo en equipo, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo"
se busca programador y/o empresa para desarrollo de software de avaluos,Aval System,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Desarrollador de Software,No especificado,"comunicación, trabajo en equipo, resolución de problemas"
desarrollador de software,Stack Builders,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Desarrollador de Software,"javascript, html/css, scrum","trabajo en equipo, aprendizaje continuo"
desarrollador de software,Routing Goal Management Corp,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Desarrollador de Software,"java, python, php, html/css, sql","trabajo en equipo, resolución de problemas"
desarrollador de software php,Selección de Personal SA,"Quito, Pichincha [inc.Quito]",1676,,tiempo completo temporal,Desarrollador de Software,"java, javascript, php, html/css, sql, aws, git","trabajo en equipo, resolución de problemas"
analista de datos + oracle fusion/otbi,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Analista de Datos,"sql, oracle fusion","trabajo en equipo, resolución de problemas, aprendizaje continuo, pensamiento crítico"
analista de datos (oracle fusion/otbi),Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Analista de Datos,"sql, oracle fusion","trabajo en equipo, resolución de problemas, aprendizaje continuo, pensamiento crítico"
analista de seguridades,BANRED S.A.,"Quito, Pichincha [inc.Quito]",1,,tiempo completo indeterminado,Analista de Datos,scrum,"trabajo en equipo, comunicación, resolución de problemas, proactividad, gestión del tiempo"
"desarrollador topaz + net hibrido quito, ecuador y uruguay",Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Analista de Datos,"c#, sql, restful apis","trabajo en equipo, liderazgo, resolución de problemas, aprendizaje continuo"
especialista monitoreo transaccional remoto latam,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Analista de Datos,No especificado,"trabajo en equipo, resolución de problemas, aprendizaje continuo, atención al detalle, proactividad, creatividad, pensamiento crítico"
analista de datos,BOTRIS CIA. LTDA,"QUITO, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Analista de Datos,"python, sql, excel, power bi, estadística","trabajo en equipo, pensamiento crítico, atención al detalle"
analista de proyectos investigación de mercados,Dichter & Neira,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Analista de Datos,excel,"resolución de problemas, orientación a resultados"
analista pricing,PRECISION,"Guayaquil, Guayas",800,,tiempo completo temporal,Analista de Datos,git,"liderazgo, resolución de problemas"
analista de mercadeo ecuador,Consultores S&S Asociados,"Quito, Pichincha [inc.Quito]",1000,,tiempo completo indeterminado,Analista de Datos,excel,"comunicación, proactividad"
"ingeniero en sistemas, programador o analista de sistemas",smartflow,"Quito, ecuador, Pichincha [inc.Quito]",900,,tiempo completo temporal,Analista de Datos,"java, php, c#, html/css, sql","trabajo en equipo, resolución de problemas"
analista programador,ANS del Ecuador,"Guayaquil, Guayas",,,tiempo completo temporal,Analista de Datos,"java, php, html/css, sql, aws","resolución de problemas, orientación a resultados, proactividad, pensamiento crítico"
analista marketing - mujeres,PARMEG S.A,"GUAYAQUIL, Guayas",450,,tiempo completo indeterminado,Analista de Datos,No especificado,"comunicación, orientación a resultados, aprendizaje continuo, proactividad, gestión del tiempo"
analista de programas,Childfund International,"Quito, Pichincha [inc.Quito]",1200,,tiempo completo temporal,Analista de Datos,excel,"gestión del tiempo, pensamiento crítico"
perfil analista de sistemas,SIMPLUSLATAM,"Guayaquil, Guayas",,,tiempo completo indeterminado,Analista de Datos,No especificado,"pensamiento crítico, atención al detalle"
analista de operaciones campo,Dichter & Neira,"Manta, Manabí",,,tiempo completo indeterminado,Analista de Datos,excel,"pensamiento crítico, atención al detalle"
administrador de base de datos- excel 100,Asistecom,"Quito, Pichincha [inc.Quito]",500,,tiempo completo indeterminado,Analista de Datos,excel,"resolución de problemas, atención al detalle, proactividad, gestión del tiempo"
analista de aseguramiento de la calidad qa (tester),Bupartech,"Quito, Pichincha [inc.Quito]",1,,tiempo completo temporal,Analista de Datos,"sql, casos de prueba","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle, gestión del tiempo"
analista de costos,Goddard Catering Group Quito,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,Analista de Datos,No especificado,"resolución de problemas, atención al detalle"
analista marketing,PARMEG S.A,"GUAYAQUIL, Guayas",400,,tiempo completo indeterminado,Analista de Datos,No especificado,"comunicación, orientación a resultados, aprendizaje continuo, proactividad, gestión del tiempo"
analista desarrollador,Technology Partners,"Guayaquil, Guayas",,,tiempo completo indeterminado,Analista de Datos,sql,"trabajo en equipo, resolución de problemas"
qa automation senior | híbrido en quito,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"excel, pruebas manuales","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle"
qa automation senior | híbrido en quito,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"excel, pruebas manuales","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle"
"qa semisenior | híbrido en uruguay, colombia y ecuador",Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,pruebas manuales,"trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, pensamiento crítico"
qa automatizador senior - remoto global (cédula ecuatoriana),Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"excel, pruebas manuales","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle"
qa automatizador | ecu,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"excel, scrum, pruebas manuales","trabajo en equipo, liderazgo, orientación a resultados, atención al detalle"
qa engineer | ecu,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"jira, appium, jmeter, scrum, pruebas manuales, pruebas automatizadas","trabajo en equipo, orientación a resultados, atención al detalle"
qa automatizador semi senior - con cédula ecuatoriana,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"excel, scrum, pruebas manuales, casos de prueba","trabajo en equipo, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad"
ux/ui semi senior- quito- ecuador,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"git, scrum","trabajo en equipo, liderazgo, aprendizaje continuo"
desarrollador backend nestjs semisenior,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"javascript, aws, kubernetes","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle"
arquitecto de soluciones senior,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,microservicios,"trabajo en equipo, liderazgo, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, pensamiento crítico"
diseñador ux & iu - quito - presencial,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,git,"trabajo en equipo, liderazgo, creatividad"
desarrollador backend nestjs senior,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,QA,"javascript, aws, kubernetes, docker","trabajo en equipo, comunicación, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle"
ingeniero de software qa,APS Consulting Group,"Guayaquil, Guayas",,,tiempo completo indeterminado,QA,"selenium, appium, excel, scrum, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, atención al detalle, pensamiento crítico"
senior software qa - líder de equipo,PaymentEvolution,"Quito, Pichincha [inc.Quito]",1000,,tiempo completo indeterminado,QA,"java, javascript, python, jira, selenium, excel, restful apis, scrum, pruebas manuales","trabajo en equipo, comunicación, liderazgo, atención al detalle"
"qa/qc manager 12yr + - fort mcmurray, alberta, canada","IMCV Costa Rica, S.A.","Canada, Extranjero",,,tiempo completo temporal,QA,"excel, restful apis, testing","trabajo en equipo, atención al detalle, comunicación"
senior qa manual tester,Webcreek,"Mexico City , Teletrabajo",,"mexico city ,teletrabajo",tiempo completo indeterminado,QA,"git, selenium, jmeter, excel, restful apis, scrum, testing","trabajo en equipo, adaptabilidad"
"supervisores qa qc mecánicos, civiles y eléctricos",Vakovic S.A.,"Quito, Pichincha [inc.Quito]",,,tiempo completo indeterminado,QA,No especificado,"atención al detalle, comunicación"
analista de aseguramiento de la calidad qa (tester),Bupartech,"Quito, Pichincha [inc.Quito]",1,,tiempo completo temporal,QA,"sql, casos de prueba","trabajo en equipo, comunicación, aprendizaje continuo, atención al detalle, gestión del tiempo"
qa automatizador,Double V Partners,"Guayaquil, Pichincha [inc.Quito]",1200,,tiempo completo indeterminado,QA,"jenkins, pruebas automatizadas","trabajo en equipo, atención al detalle, comunicación"
senior full-stack developer (nodejs/reactjs),Webcreek,"Ecuador, Teletrabajo",,"ecuador,teletrabajo",tiempo completo indeterminado,QA,"javascript, sql, react, aws, kubernetes, excel, scrum","trabajo en equipo, adaptabilidad"
