titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
Analista de Inteligencia de Negocios y Análisis de Datos,,"Quito, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"r, excel, sap, apple, análisis de datos","trabajo en equipo, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo, creatividad, pensamiento crítico, responsabilidad, planificación"
ANALISTA DE DATOS,"ALESPALMA S.A., es una Empresa agrícola dedicada al cultivo de palma aceitera, comprometida con el desarrollo de procesos productivos fundamentados en la mejora continua y compromiso permanente de nuestros colaboradores, para generar rentabilidad con responsabilidad social y ambiental dentro de un marco legal, para llegar a la sostenibilidad.La Compañía se constituyó el día 19 de octubre de 1998 y debidamente aprobada en el Registro Mercantil el día 09 de diciembre de 1998.La Compañía tiene su domicilio legal en la ciudad de San Lorenzo, su administración en la ciudad de Quito y la plantación y extractora de palma aceitera se encuentra ubicada en el Cantón San Lorenzo, Provincia de Esmeraldas.Plantación San Lorenzo busca un Operador de Báscula responsable, proactivo y con orientación al detalle para unirse a nuestro equipo. El candidato será encargado de realizar el pesaje de vehículos, registrar entradas y salidas de materia prima, y garantizar la precisión en los reportes de control de producción. Despacho de aceite (pesaje, órdenes de venta, guías). Venta y control de subproductos (lodo, raquis picado). Actualización de precios y soporte a sistemas BASC. Manejo y rastreo de vehículos que transportan fruta. Recopilación y validación de documentos de transportistas.Requisitos: Estudios superiores en Administración, Contabilidad y Auditoría o carreras afines. 1 año de experiencia en el cargo. Conocimientos Office Disponibilidad para residir en San Lorenzo- Esmeraldas (plantación).Beneficios Seguro de atención medica Seguro de vida Vivienda en San Lorenzo (Campamento) Alimentación Transporte","Quito, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"r, análisis de datos","trabajo en equipo, liderazgo, orientación a resultados, atención al detalle, responsabilidad"
ANALISTA DE DATOS / QUITO,EFICACIA,"Quito, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"r, análisis de datos","pensamiento crítico, atención al detalle, comunicación"
Analista de Datos y Estadísticas,,"Guayaquil, Guayas, Ecuador",502,Presencial,tiempo completo,Analista de Datos,r,"pensamiento crítico, atención al detalle, comunicación"
Analista Prevención de Fraudes (Análisis de Datos),,"Guayaquil, Guayas, Ecuador",,Presencial,tiempo completo,Analista de Datos,"r, análisis de datos","pensamiento crítico, atención al detalle, comunicación"
Analista de Datos Maestros,,"Guayas, Guayas, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"r, apple, análisis de datos, dashboards, business intelligence","trabajo en equipo, resolución de problemas, aprendizaje continuo, atención al detalle, proactividad, gestión del tiempo, responsabilidad, planificación"
ANALISTA DE BASE DE DATOS/ QUITO,EFICACIA,"Quito, Pichincha, Ecuador",,Híbrido,tiempo completo,Analista de Datos,"r, análisis de datos","pensamiento crítico, atención al detalle, comunicación"
ANALISTA DE BASE DE DATOS/ QUITO,EFICACIA,"Quito, Pichincha, Ecuador",,Híbrido,tiempo completo indeterminado,Analista de Datos,"r, análisis de datos","pensamiento crítico, atención al detalle, comunicación"
Analista de datos,CHENGYE CIA LTDA,"Machala, El Oro, Ecuador",,Presencial,tiempo completo,Analista de Datos,r,"pensamiento crítico, atención al detalle, comunicación"
ANALISTA DE DATOS & BI,,"Sangolquí, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"c++, r, análisis de datos","aprendizaje continuo, atención al detalle, creatividad, responsabilidad"
ANALISTA DE DATOS,,"Cuenca, Azuay, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"r, apple, análisis de datos","liderazgo, atención al detalle, creatividad"
ANALISTA DE DATOS,,"Guayaquil, Guayas, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"r, excel, power bi, restful apis, bim, apple, análisis de datos, dashboards","trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, responsabilidad"
Supervisor QA/QC Eléctrico,Pmec Ingenieria y Construccion Metalmecanica Ecuatoriana S.A,"Joya de los Sachas, Orellana, Ecuador",1238,Presencial,tiempo completo,QA,"c++, r, erp, apple, casos de prueba, control de calidad, inspección","trabajo en equipo, aprendizaje continuo, atención al detalle, creatividad, pensamiento crítico, responsabilidad"
Supervisor QA/QC Civil,,"Latacunga, Cotopaxi, Ecuador",,Presencial,tiempo completo temporal,QA,"c++, r, excel, autocad, apple, pruebas manuales, pruebas automatizadas, casos de prueba, control de calidad, inspección, auditoría","liderazgo, aprendizaje continuo, atención al detalle, responsabilidad"
QA,,"Quito, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,QA,"c#, c++, r, jira, scrum, devops, ci/cd, crm, erp, microsoft dynamics, apple, pruebas manuales, pruebas automatizadas, testing, casos de prueba, control de calidad, inspección","trabajo en equipo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, responsabilidad, planificación"
TECNICO QA/QC CIVIL,,"Quito, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,QA,"r, casos de prueba, control de calidad","atención al detalle, comunicación, responsabilidad"
TECNICO QA/QC CIVIL,,"Quito, Pichincha, Ecuador",,Presencial,tiempo completo indeterminado,QA,"r, casos de prueba, control de calidad","atención al detalle, comunicación, responsabilidad"
Ingeniero de Procesos QA,,"Durán, Guayas, Ecuador",,Presencial,tiempo completo,QA,"c#, r, git, jira, scrum, devops, erp, microsoft dynamics, pruebas manuales, pruebas automatizadas, casos de prueba, control de calidad","trabajo en equipo, comunicación, resolución de problemas, aprendizaje continuo, responsabilidad, planificación"
