titulo,empresa,ubicacion,salario,modalidad,jornada,tipo_contrato,descripcion,Area
Desarrollador Backend NestJS Senior,Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,"✨ ¿Te apasiona crear servicios escalables y resilientes que impacten directamente en el usuario? En nuestro equipo encontrarás el espacio para crecer, retarte y compartir tu conocimiento 🚀 ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! 🚀💡 ¡Prepárate y únete a esta aventura! 🎯 ¿Qué encontrarás? 🔧 Retos técnicos y personales que te mantendrán en constante crecimiento. 🤝 Un equipo conectado, enfocado en tu bienestar físico y mental. 🌱 Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte. 🎓 KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! 🧠🎮 🎉 Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional. ¿Qué buscamos? 💡 Un Desarrollador Backend Senior con más de 4 años de experiencia en NestJS, capaz de liderar técnicamente el desarrollo de soluciones escalables y de alto rendimiento. Será responsable de diseñar, implementar y optimizar servicios backend complejos, además de guiar al equipo en buenas prácticas y estándares de calidad, trabajando estrechamente con frontend, QA y producto para garantizar resultados excepcionales. Responsabilidades principales: <ul> <li>Liderar el diseño y desarrollo de servicios backend escalables con NestJS + TypeScript.</li> <li>Definir e implementar arquitecturas limpias aplicando Clean Architecture, DDD y CQRS.</li> <li>Gestionar la orquestación de contenedores con Kubernetes y la infraestructura en AWS.</li> <li>Diseñar e integrar comunicación asíncrona con RabbitMQ o Kafka.</li> <li>Realizar revisiones de código, establecer estándares y asegurar su cumplimiento.</li> <li>Configurar y mantener reglas de inspección de código en pipelines CI/CD.</li> <li>Mentorizar y dar coaching a desarrolladores junior y semi senior.</li> <li>Impulsar mejores prácticas en el equipo y promover la calidad de los entregables.</li> <li>Participar activamente en discusiones técnicas y decisiones de arquitectura.</li> <li>Detectar y resolver problemas de desempeño y proponer soluciones innovadoras.</li> </ul> Requisitos: <ul> <li>Formación: Ingeniero de sistemas o carreras afines.</li> <li>Experiencia: Más de 4 años como desarrollador Backend, con amplia experiencia en NestJS + TypeScript.</li> <li>Experiencia comprobada en diseño de Rest Services, microservicios y servicios web.</li> <li>Dominio de AWS (CloudWatch, entre otros) y conocimientos en Azure.</li> <li>Experiencia sólida en Programación Orientada a Objetos y Programación Funcional.</li> <li>Conocimiento profundo en escalabilidad, resiliencia, disponibilidad y concurrencia.</li> </ul> Conocimientos técnicos prioritarios: <ul> <li>Frameworks: NestJS + TypeScript.</li> <li>Infraestructura y despliegue: Kubernetes, AWS.</li> <li>Mensajería: RabbitMQ, Kafka.</li> <li>Arquitectura: Clean Architecture, DDD, CQRS.</li> <li>Calidad y automatización: Revisiones de código, CI/CD, análisis y optimización de desempeño.</li> </ul> Condiciones 📝Contrato a término indefinido ¡Queremos relaciones a largo plazo y que crezcas con nosotros! 💡 🚀 ¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! 🌟 📍 Ubicación: Remota. <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ec5a34756d0b7b79dd6084548786ee4ef1/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
Desarrollador Semi Senior,NOMINA360,"Cuenca, Azuay",$ 7,,Tiempo completo,Permanente,"OJO: Presencial en la Ciudad de Cuenca, Ecuador Rango de Salario inicial de $ 7 0 0 a $ 9 0 0. En Nómina 3 6 0, somos una plataforma SaaS líder en gestión de nómina y talento humano en Ecuador. Estamos buscando un/a Desarrollador/a Semi Senior que quiera crecer en un entorno dinámico, colaborativo y con retos técnicos de impacto. Este rol es clave dentro de nuestro equipo de producto: tendrás autonomía parcial, trabajarás en proyectos de complejidad intermedia y participarás activamente en la calidad y seguridad de nuestras soluciones. Responsabilidades Desarrollar funcionalidades y participar en el análisis técnico de requerimientos. Diseñar y ejecutar pruebas unitarias e integraciones básicas. Dar soporte técnico de mediana complejidad a usuarios internos y QA. Colaborar en code reviews, asegurando calidad, seguridad y buenas prácticas. Documentar cambios técnicos y funcionales de manera clara y constante. Realizar despliegues en ambientes de test/dev siguiendo SOPs establecidos. Guiar y revisar el trabajo de perfiles Juniors, apoyando su desarrollo. Contribuir en retrospectivas y propuestas de mejora continua. Requisitos Experiencia: 2 a 5 años en desarrollo de software. Formación: Ingeniería en Sistemas, Informática o afines (título requerido). Conocimientos técnicos intermedios en: (backend). (frontend). MongoDB (consultas complejas, modelado básico). GitHub (flujo por ramas, PRs, resolución de conflictos). Experiencia con metodologías ágiles (Kanban, Azure DevOps, Shortcut). Capacidad para trabajar en equipo, comunicar ideas con claridad y asumir responsabilidad sobre entregables. Valoramos experiencia previa en SaaS o sistemas de gestión empresarial. Lo que ofrecemos: Rango de Salario de $ 7 0 0 a $ 9 0 0 con oportunidades de crecimiento dentro de la empresa. Ser parte de una plataforma SaaS en crecimiento con clientes de alto impacto. Cultura de aprendizaje continuo, participación en decisiones técnicas y acompañamiento en tu carrera profesional. Ambiente colaborativo con foco en innovación, seguridad y calidad. Si te interesa crecer con nosotros y asumir nuevos retos, postula y sé parte de Nómina 3 6 0: Cumplimiento en la base, talento en el destino. <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",QA
"Desarrollador Nest Ssr Presencial Quito, Ecuador",Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,"¿Estás buscando nuevos desafíosy un lugar donde puedas disfrutar de un ambiente cercano mientrasaprendesconstantemente? Bienvenido a un equipo con un propósito claro:""TRANSFORMARla vida de las personas siendo el aliadoTECNOLÓGICOmás confiable"" Prepárate y únete a esta aventura¿Qué encontrarás? Retos técnicos y personales que te mantendrán en constante crecimiento. Un equipo conectado, enfocado en tu bienestar físico y mental.Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. Será un reto y un juego a la vez Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional. ¿Qué buscamos? Buscamos unDesarrollador Backend Senior/Semi-Senior (SSR)con más de3 años de experienciacomprobada, especializado en la creación de servicios escalables y de alto rendimiento utilizandoNestJS y TypeScript. Tu misión será fundamental: diseñar, implementar y mantener la columna vertebral de nuestros sistemas. Buscamos a un ingeniero que no solo escriba código limpio, sino que también piense en laescalabilidad, resiliencia y la aplicación de Clean Architecturepara alinear la tecnología con la estrategia de negocio.Si te apasiona la programación, dominas los conceptos de microservicios y buscas un rolpresencialdonde tu impacto en la arquitectura sea directo y significativo,Sofkate ofrece el ambiente ideal para llevar tu carrera al siguiente nivel.Responsabilidades :Diseñar e implementar microservicios robustos y eficientes utilizando el framework NestJS y TypeScript.Asegurar la escalabilidad, resiliencia y disponibilidad de los servicios bajo alta concurrencia.Aplicar principios de Clean Architecture (DDD, CQRS) para garantizar código de alta calidad, organizado y alineado al negocio.Integrar sistemas de comunicación asíncrona como RabbitMQ/Kafka para servicios resilientes.Colaborar estrechamente con equipos de Frontend, QA y Producto para traducir requisitos en soluciones técnicas funcionales.Liderar procesos de revisión de código (Code Review) para asegurar la aplicación de estándares, patrones de diseño y las mejores prácticas.Optimizar el desempeño de los servicios, analizando y desagregando problemas técnicos de difícil resolución.Contribuir activamente a la visión del producto, proponiendo alternativas técnicas que entiendan y mejoren el proceso de negocio.Conocimientos Técnicos:Frameworks y Lenguajes: Dominio de NestJS + TypeScript.Paradigmas de Programación: Dominio en Programación Orientada a Objetos y Programación Funcional.Arquitectura: Conocimientos avanzados en Rest Service, Servicios Web y Microservicios.Principios de Diseño: Experiencia con Clean Architecture (DDD, CQRS). Computación en Nube: Conocimientos de plataformas como AWS (incluyendo herramientas de observabilidad como CloudWatch). Orquestación y Comunicación: Experiencia con Kubernetes y sistemas de mensajería como RabbitMQ/Kafka.Conceptos Clave: Manejo claro de Escalabilidad, Resiliencia, Disponibilidad y Concurrencia.Calidad de Código: Habilidad para realizar revisiones de código y aplicar reglas de inspección en pipelines CI/CD.PRESENTATEy sé parte de esta historiaCondicionesContrato a término indefinido Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. Tú decides cómo quieres crecer Posición 100% presencial en Quito, Ecuador <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
"Ux/Ui Ssr En Quito, Ecuador",Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,"¿Estás buscando nuevos desafíosy un lugar donde puedas disfrutar de un ambiente cercano mientrasaprendesconstantemente? Bienvenido a un equipo con un propósito claro:""TRANSFORMARla vida de las personas siendo el aliadoTECNOLÓGICOmás confiable"" Prepárate y únete a esta aventura¿Qué encontrarás? Retos técnicos y personales que te mantendrán en constante crecimiento. Un equipo conectado, enfocado en tu bienestar físico y mental.Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. Será un reto y un juego a la vez Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional. ¿Qué buscamos? UnUX/UI Semi Seniorcon más de3 años de experiencia, este rol se centra eninvestigar, diseñar e iterar experiencias digitalesque sean intuitivas, eficientes y visualmente consistentes, utilizando metodologías centradas en el usuario.Serás parte de un equipo multidisciplinario, trabajando junto a desarrolladores, QA, producto y negocio para garantizar experiencias digitales seguras, coherentes y adaptadas a diferentes perfiles de usuario.Además, participarás en procesos de investigación, ideación, diseño de interfaces y validación con usuarios mediante pruebas de usabilidad y prototipos.Conocimientos Técnicos requeridosUXFacilitación de talleres colaborativos (Customer Persona, Empathy Maps, Journey Maps, Service Blueprints). Manejo de herramientas digitales de ideación: Miro, Mural.Experiencia en investigación de usuarios: entrevistas, grupos focales, observación, pruebas A/B, heatmaps, eyetracking.Dominio en pruebas de usabilidad.Diseño y optimización de arquitecturas de información.UICreación de interfaces intuitivas y atractivas.Dominio de Figma para prototipos y diseños de alta fidelidad.Conocimiento sólido en tipografía, color, layout, iconografía.Trabajo conjunto con UX y producto para traducir requerimientos en interfaces efectivas.Construcción y mantenimiento de sistemas de diseño.PRESENTATEy sé parte de esta historiaCondicionesContrato a término indefinido Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. Tú decides cómo quieres crecer <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Director De Producción,Anfibius,Santo Domingo de los Tsáchilas,,,Tiempo completo,Permanente,"Formación Académica Título de Licenciatura o Ingeniería en Ingeniería de Software, Ingeniería Informática, Ingeniería Industrial o carreras afines. Experiencia mínima de 5 a 7 años en desarrollo de software. Al menos 3 años de experiencia en cargos de liderazgo, tales como Director de Proyectos, Jefe de Desarrollo o roles equivalentes en el ámbito tecnológico. Experiencia y Conocimientos Técnicos Amplia experiencia en desarrollo de software, incluyendo dominio de metodologías ágiles (Scrum, Kanban). Conocimientos sólidos en control de calidad de software, testing automatizado y procesos de aseguramiento de la calidad (QA). Comprensión de principios contables y del flujo de información financiera dentro de sistemas ERP o software contable. Conocimiento en seguridad informática, protección de datos y cumplimiento normativo aplicable al manejo de información financiera. Experiencia en la gestión de bugs, mantenimiento correctivo y evolutivo del software. Habilidades y Competencias Liderazgo estratégico y gestión de equipos multidisciplinarios, fomentando la colaboración, la productividad y la mejora continua. Capacidad de comunicación efectiva, tanto con perfiles técnicos como con la alta dirección y los clientes. Planificación de la producción tecnológica, definiendo cronogramas, asignando recursos y garantizando entregas de alto impacto. Pensamiento analítico y toma de decisiones basadas en datos, integrando la visión técnica con la financiera. Orientación a resultados, con enfoque en la eficiencia operativa, calidad del producto y satisfacción del cliente. Resolución de problemas complejos, con enfoque preventivo y proactividad ante contingencias del desarrollo. <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Director de Producción,Anfibius,Ecuador,,,Tiempo completo,Permanente,"Formación Académica <ul> <li>Título de Licenciatura o Ingeniería en Ingeniería de Software, Ingeniería Informática, Ingeniería Industrial o carreras afines.</li> <li>Experiencia mínima de 5 a 7 años en desarrollo de software.</li> <li>Al menos 3 años de experiencia en cargos de liderazgo, tales como Director de Proyectos, Jefe de Desarrollo o roles equivalentes en el ámbito tecnológico.</li> </ul> Experiencia y Conocimientos Técnicos <ul> <li>Amplia experiencia en desarrollo de software, incluyendo dominio de metodologías ágiles (Scrum, Kanban).</li> <li>Conocimientos sólidos en control de calidad de software, testing automatizado y procesos de aseguramiento de la calidad (QA).</li> <li>Comprensión de principios contables y del flujo de información financiera dentro de sistemas ERP o software contable.</li> <li>Conocimiento en seguridad informática, protección de datos y cumplimiento normativo aplicable al manejo de información financiera.</li> <li>Experiencia en la gestión de bugs, mantenimiento correctivo y evolutivo del software.</li> </ul> Habilidades y Competencias <ul> <li>Liderazgo estratégico y gestión de equipos multidisciplinarios, fomentando la colaboración, la productividad y la mejora continua.</li> <li>Capacidad de comunicación efectiva, tanto con perfiles técnicos como con la alta dirección y los clientes.</li> <li>Planificación de la producción tecnológica, definiendo cronogramas, asignando recursos y garantizando entregas de alto impacto.</li> <li>Pensamiento analítico y toma de decisiones basadas en datos, integrando la visión técnica con la financiera.</li> <li>Orientación a resultados, con enfoque en la eficiencia operativa, calidad del producto y satisfacción del cliente.</li> <li>Resolución de problemas complejos, con enfoque preventivo y proactividad ante contingencias del desarrollo.</li> </ul> <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Tech Lead,Kushki Pagos,"Quito, Pichincha",,,Tiempo completo,Permanente,"Únete a nuestro Equipo como:Tech LeadEn Kushki, nos enorgullece ser líderes en la industria de pagos, impulsando el cambio y la innovación a través de soluciones que transforman los comercios. Nuestro compromiso con la excelencia y la creatividad nos ha llevado a la vanguardia de nuestro campo, y buscamos constantemente talentos apasionados que deseen hacer una diferencia real en el mundo.Para conocer las noticias más recientes puedes visitar nuestro blog: o nuestra pagina: Propósito del rol:El TL es el experto técnico que define y transmite al equipo de desarrollo lineamientos técnicos para que este pueda completar exitosamente las historias de usuarios.Velar por el cumplimiento de lineamientos de programación, arquitectura y despliegue en producción.Decisiones clave: garantizar la correcta asignación de personas a los squads, calidad de los proyectos y soportar su equipoEntregables clave: condiciones favorables de trabajo a sus equipos, mantener el equipo motivadoFunciones Clave:Supervisar el código implementado por el equipo a detalle para resolver defectos o mejorarlo.Velar por el cumplimiento de los lineamientos de programación, arquitectura y despliegue en producciónDefinir los lineamientos técnicos de programación y acompañar al equipo de desarrollo garantizando su ejecución de acuerdo al diseñoAcompañar y dar soporte a su equipo, buscando alineación, entendimiento y la asignación adecuada de las personas en los squadsAcompañar y garantizar la calidad de cada uno de los proyectos asignadosGestionar herramientas, actividades u otras opciones que ayuden a mantener motivado el equipo y a conservar condiciones favorables de trabajo.Realizar las tareas establecidas y aquellas en las que pueda ser requerida su participación.Facilitar revisiones de código y proporcionar retroalimentación constructiva al equipo.Colaborar en la planificación y estimación de proyectos, asegurando la asignación efectiva de recursos.Actuar como intermediario entre el equipo técnico y otras partes interesadas para garantizar una comunicación fluida.Promover la adopción de nuevas tecnologías y mejores prácticas en el desarrollo.Monitorear y evaluar el desempeño del equipo, proporcionando apoyo y orientación cuando sea necesario.Organizar sesiones de capacitación y talleres para el desarrollo profesional del equipo.Evaluar y seleccionar herramientas y tecnologías que optimicen el flujo de trabajo del equipo.Participar en la identificación y resolución de problemas técnicos complejos.Fomentar un ambiente de colaboración y respeto, promoviendo la diversidad y la inclusión dentro del equipo.Establecer métricas de éxito para los proyectos y hacer seguimiento de su cumplimiento.Colaborar con otros líderes técnicos para alinear estrategias y compartir conocimientos.Trabajar de la mano con el equipo de producto y QA para el cumplimiento de objetivosContribuir al desarrollo y la mejora continua de procesos de trabajo dentro del equipo.Asegurar la documentación adecuada de procesos, decisiones y lecciones aprendidas en los proyectos.Fomentar la innovación dentro del equipo de desarrolloRequerimientos:Título universitario en Ingeniería en Computación, Industrial y afines. +2 años coordinando equipos de desarrollo. +4 años de experiencia en el desarrollo de códigos.Deseable experiencia en plataformas de pago o fintech (deseable)Experiencia en participación en proyectos de IA+2 años de experiencia a profundidad en algunos de los siguientes lenguajes de programación: Python, Node JS, Angular, Webpack, Go (dominio a nivel alto), Scala (dominio a nivel medio), Kotlin (dominio a nivel medio), Swift (dominio a nivel básico), Java, AWS, Lambda, Typescript, TDD.Experiencia en el modelado de procesos de negocio utilizando una variedad de herramientas y técnicas, web services, integraciones, APIs, APIs Rest (dominio a nivel alto), APP's, React (dominio a nivel alto)+2 años trabajando con metodología Scrum y TDD.Experiencia con TDD, CI/DC (dominio a nivel alto) y/o Canary Release. ¿Por qué unirte a nuestro equipo? Tendrás la oportunidad de trabajar en un entorno dinámico y colaborativo donde tu voz será escuchada.Podrás crecer profesionalmente y desarrollar tu carrera en un sector en crecimiento.Contribuirás directamente a nuestro impacto positivo en la industria de pagos.En Kushki pensamos en ti y en tu bienestar. Creemos que lo más valioso de la organización son las personas, y por eso te ofrecemos:Acceso a plataformas de capacitación y entrenamiento constanteDías de recarga de vacacionesEl día de tu cumpleaños libreFlexibilidad en tu lugar de trabajoUna plataforma de bienestarConvenios con universidades e institutos en la región, para que continues con tu formación profesionalBeneficios monetarios adicionalesÚnete a nosotros en este emocionante viaje y haz la diferencia con Kushki. Esperamos recibir tu aplicaciónKushki se enorgullece de ser un empleador que ofrece igualdad de oportunidades. Abrazamos la diversidad y la inclusión. Nuestras decisiones de empleo se toman sin discriminar por nacionalidad, raza, etnia, religión, género, orientación sexual, identidad o expresión de género, estado civil, color, discapacidad o cualquier otra característica protegida por la ley. Kushki prides himself on being an equal opportunity employee. We embrace diversity and inclusion. Our employment decisions are made without discrimination based on national origin, race, ethnicity, religion, gender, sexual orientation, gender identity or expression, marital status, color, disability, or any other characteristic protected by law. <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Desarrollador Semi Senior,Nomina360. Software De Talento Humano,"Cuenca, Azuay",$700,,Tiempo completo,Permanente,"Desarrollador/a Semi Senior – Nómina360Presencial en la Ciudad de Cuenca, EcuadorEn Nómina360, somos una plataforma SaaS líder en gestión de nómina y talento humano en Ecuador. Estamos buscando un/a Desarrollador/a Semi Senior que quiera crecer en un entorno dinámico, colaborativo y con retos técnicos de impacto.Este rol es clave dentro de nuestro equipo de producto: tendrás autonomía parcial, trabajarás en proyectos de complejidad intermedia y participarás activamente en la calidad y seguridad de nuestras soluciones.ResponsabilidadesDesarrollar funcionalidades y participar en el análisis técnico de requerimientos.Diseñar y ejecutar pruebas unitarias e integraciones básicas.Dar soporte técnico de mediana complejidad a usuarios internos y QA.Colaborar en code reviews, asegurando calidad, seguridad y buenas prácticas.Documentar cambios técnicos y funcionales de manera clara y constante.Realizar despliegues en ambientes de test/dev siguiendo SOPs establecidos.Guiar y revisar el trabajo de perfiles Juniors, apoyando su desarrollo.Contribuir en retrospectivas y propuestas de mejora continua.RequisitosExperiencia: 2 a 5 años en desarrollo de software.Formación: Ingeniería en Sistemas, Informática o afines (título requerido). Conocimientos técnicos intermedios en: (backend). (frontend). MongoDB (consultas complejas, modelado básico). GitHub (flujo por ramas, PRs, resolución de conflictos). Experiencia con metodologías ágiles (Kanban, Azure DevOps, Shortcut). Capacidad para trabajar en equipo, comunicar ideas con claridad y asumir responsabilidad sobre entregables.Valoramos experiencia previa en SaaS o sistemas de gestión empresarial.Lo que ofrecemos:Rango de Salario de $700 a $900.Ser parte de una plataforma SaaS en crecimiento con clientes de alto impacto.Cultura de aprendizaje continuo, participación en decisiones técnicas y acompañamiento en tu carrera profesional.Ambiente colaborativo con foco en innovación, seguridad y calidad.Si te interesa crecer con nosotros y asumir nuevos retos, postula y sé parte de Nómina360: Cumplimiento en la base, talento en el destino. <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Hr Analyst,Banco Guayaquil,"Guayaquil, Guayas",,,Tiempo completo,Permanente,"Propósito del rolGestionar procesos de atracción y selección de talento tecnológico (developers, data, producto, etc.), y de otras áreas de la compañía, asegurando la mejor experiencia de candidatos y hiring managers, brindar soporte transversal en iniciativas de RRHH (onboarding, clima, cultura, desarrollo). Responsabilidades principalesSelección Tech (core del rol)Gestionar de principio a fin procesos de selección de perfiles de tecnología: levantamiento de perfiles, búsqueda, entrevistas, evaluación y cierre.Diseñar e implementar estrategias de reclutamiento y hunting en canales especializados (LinkedIn Recruiter, GitHub, Stack Overflow, etc.). Gestionar procesos a través a través de los sistemas de reclutamiento de la empresa y reportar métricas de reclutamiento (time-to-hire, quality-of-hire, NPS candidatos). Colaborar con líderes técnicos para definir requerimientos y asegurar la calidad en la evaluación técnica.Selección de perfiles no-TechGestionar procesos de contratación de otras áreas (ventas, marketing, finanzas, operaciones, etc.). Adaptar estrategias de búsqueda a cada perfil.Gestionar múltiples procesos en paralelo manteniendo foco en tiempos y calidad.Apoyo en RRHHColaborar en procesos de onboarding para asegurar integración de nuevos colaboradores.Apoyar en iniciativas de clima, cultura y engagement.Contribuir en proyectos de desarrollo organizacional y comunicación interna.Generar reportes y métricas de RRHH (rotación, satisfacción, etc.) cuando sea necesario.RequisitosFormación en Psicología Organizacional, Administración de Empresas, Recursos Humanos, o carreras afines.Se valoran cursos/certificaciones en Reclutamiento IT, Agile HR, o Talent Acquisition.3 años en reclutamiento de perfiles tecnológicos (desarrolladores, data, producto, QA, DevOps, etc.). Experiencia manejando procesos de selección en áreas no tecnológicas.Experiencia con ATS y herramientas de sourcing.Conocimientos y habilidadesManejo de herramientas de selección y hunting.Conocimiento de tecnologías, stacks y roles IT.Habilidades de entrevista por competencias.Organización, orientación a resultados y capacidad de manejar múltiples procesos en paralelo.Comunicación efectiva y habilidades de relacionamiento con líderes y candidatos.Competencias claveFlexibilidad: adaptarse a distintos tipos de perfiles y necesidades del negocio.Empatía y orientación al candidato: asegurar experiencias positivas en procesos.Trabajo en equipo: colaborar con líderes técnicos y el equipo de RRHH.Proactividad: proponer mejoras en procesos de reclutamiento y HR.Pensamiento analítico: interpretar métricas y proponer acciones basadas en datos. <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Analista De Aseguramiento De La Calidad De Software,Viamatica,"Guayaquil, Guayas",,,Tiempo completo,Permanente,"Únete a nuestro equipo comoAnalista QA Semi Senior ¿Tienes experiencia en pruebas de software, validación de requerimientos y manejo de bases de datos? EnSipecom S.A.estamos buscando tu perfil para garantizar la calidad de soluciones tecnológicas de alto impactoSobre nosotros:Sipecom S.A.es una empresa con más de 23 años de experiencia en el mercado ecuatoriano, especializada en el desarrollo e implementación de soluciones tecnológicas innovadoras como ERP, CRM y plataformas personalizadas. Nuestro compromiso es asegurar la calidad y confiabilidad en cada producto, apoyando a organizaciones de distintos sectores a optimizar sus procesos mediante innovación y tecnología.Lo que buscamos:Formación:Ingeniería o Licenciatura en Sistemas, Tecnologías de la Información o afines. (GRADUADO)Experiencia mínima requerida:3 años en adelante.Experiencia comprobada en:Pruebas funcionales y no funcionalesAnálisis de requerimientosManejo de bases de datos SQL ServerCasos y documentación de pruebasExperiencia con JMeter (deseable)Lo que valoramos en ti: Atención al detalle Trabajo en equipo Compromiso y responsabilidad Interesados, por favor enviar su hoja de vida ao etiqueta a alguien que pueda estar interesado.Tu próximo reto profesional te está esperando enSipecom S.A. <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
Desarrollador Backend Nestjs Semisenior,Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,"¿Estás buscando nuevos desafíosy un lugar donde puedas disfrutar de un ambiente cercano mientrasaprendesconstantemente? Bienvenido a un equipo con un propósito claro:""TRANSFORMARla vida de las personas siendo el aliadoTECNOLÓGICOmás confiable"" Prepárate y únete a esta aventura¿Qué encontrarás? Retos técnicosy personales que te mantendrán en constante crecimiento. Un equipo conectado, enfocado entu bienestar físico y mental.Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.KaizenHub, un programa diseñado para potenciar tus talentos, confeedback, mentorías y coaching a través deSofka U. Será un reto y un juego a la vez Programas como Happy Kaizen y WeSofkaque cuidan tu bienestar físico y emocional. ¿Qué buscamos? UnDesarrollador Backend Semi Seniorapasionado por crear soluciones escalables y de alto rendimiento. Será responsable de diseñar, implementar y mantener servicios backend eficientes, colaborando estrechamente con equipos de frontend, QA y producto, y asegurando calidad técnica en cada entrega.Responsabilidades principales:Diseñar, desarrollar y mantener servicios backend escalables usando NestJS + TypeScript.Implementar arquitecturas limpias y patrones como Clean Architecture, DDD y CQRS.Integrar y optimizar comunicación asíncrona con RabbitMQ o Kafka.Orquestar servicios con Kubernetes y asegurar disponibilidad en AWS.Realizar revisiones de código y aplicar estándares de calidad.Implementar reglas de inspección en pipelines CI/CD.Analizar y resolver problemas técnicos complejos, incluyendo desempeño y escalabilidad.Colaborar con el equipo para alinear las soluciones con la visión del producto y las necesidades del negocio.Requisitos:Formación: Ingeniero de sistemas o carreras afines.Experiencia: Más de 3 años como desarrollador Backend con dominio de NestJS + TypeScript.Conocimientos avanzados en Rest Services, microservicios y servicios web.Experiencia en AWS (CloudWatch u otros), Azure (deseable). Sólida base en Programación Orientada a Objetos y Programación Funcional.Dominio de conceptos como escalabilidad, resiliencia, disponibilidad y concurrencia.Conocimientos técnicos prioritarios:Frameworks: NestJS + TypeScript.Infraestructura y despliegue: Kubernetes, AWS.Mensajería: RabbitMQ, Kafka.Arquitectura: Clean Architecture, DDD, CQRS.Testing y calidad: Revisiones de código, pipelines CI/CD.PRESENTATEy sé parte de esta historia CondicionesContrato a término indefinidoQueremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo¿Buscas crecimiento profesional? En Sofka, te ofrecemos unecosistema de aprendizajecon múltiples herramientas para cerrar brechas y potenciar tus habilidades. Tú decides cómo quieres crecer Ubicación:Ecuador <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",QA
